Before the meeting , Mary wrote down the following lists of words . One was : window , door , roof . And the other : sparrow , heron , eagle .
Before the meeting , Mary wrote down the following lists of words . One was : hall , window , door . And the other : lawyer , teacher , dentist .
Before the meeting , Mary wrote down the following lists of words . One was : hearth , hall , window . And the other : canyon , tundra , ocean .
Before the meeting , Mary wrote down the following lists of words . One was : basement , hearth , hall . And the other : hill , valley , river .
Before the meeting , Mary wrote down the following lists of words . One was : room , basement , hearth . And the other : engineer , professor , carpenter .
Before the meeting , Mary wrote down the following lists of words . One was : ceiling , room , basement . And the other : pike , trout , shark .
Before the meeting , Mary wrote down the following lists of words . One was : floor , ceiling , room . And the other : plum , grapefruit , lemon .
Before the meeting , Mary wrote down the following lists of words . One was : wall , floor , ceiling . And the other : sparrow , heron , eagle .
Before the meeting , Mary wrote down the following lists of words . One was : roof , wall , floor . And the other : toe , leg , arms .
Before the meeting , Mary wrote down the following lists of words . One was : door , roof , wall . And the other : basketball , tennis , swimming .
Before the meeting , Mary wrote down the following lists of words . One was : leg , arms , head . And the other : swimming , soccer , golf .
Before the meeting , Mary wrote down the following lists of words . One was : toe , leg , arms . And the other : potassium , oxygen , hydrogen .
Before the meeting , Mary wrote down the following lists of words . One was : hand , toe , leg . And the other : pants , shoes , blouse .
Before the meeting , Mary wrote down the following lists of words . One was : ear , hand , toe . And the other : herring , perch , salmon .
Before the meeting , Mary wrote down the following lists of words . One was : finger , ear , hand . And the other : mixer , cup , dish .
Before the meeting , Mary wrote down the following lists of words . One was : nose , finger , ear . And the other : nurse , psychologist , doctor .
Before the meeting , Mary wrote down the following lists of words . One was : foot , nose , finger . And the other : linen , satin , velvet .
Before the meeting , Mary wrote down the following lists of words . One was : eye , foot , nose . And the other : tennis , swimming , soccer .
Before the meeting , Mary wrote down the following lists of words . One was : head , eye , foot . And the other : red , green , yellow .
Before the meeting , Mary wrote down the following lists of words . One was : arms , head , eye . And the other : steamship , sailboat , destroyer .
Before the meeting , Mary wrote down the following lists of words . One was : sailboat , destroyer , battleship . And the other : oboe , piano , drum .
Before the meeting , Mary wrote down the following lists of words . One was : steamship , sailboat , destroyer . And the other : influenza , encephalitis , cancer .
Before the meeting , Mary wrote down the following lists of words . One was : tugboat , steamship , sailboat . And the other : flute , guitar , saxophone .
Before the meeting , Mary wrote down the following lists of words . One was : freighter , tugboat , steamship . And the other : bear , mouse , log .
Before the meeting , Mary wrote down the following lists of words . One was : canoe , freighter , tugboat . And the other : wall , floor , ceiling .
Before the meeting , Mary wrote down the following lists of words . One was : yacht , canoe , freighter . And the other : plane , chisel , ruler .
Before the meeting , Mary wrote down the following lists of words . One was : submarine , yacht , canoe . And the other : parrot , pigeon , woodpecker .
Before the meeting , Mary wrote down the following lists of words . One was : cruiser , submarine , yacht . And the other : apricot , apple , pear .
Before the meeting , Mary wrote down the following lists of words . One was : battleship , cruiser , submarine . And the other : blue , red , green .
Before the meeting , Mary wrote down the following lists of words . One was : destroyer , battleship , cruiser . And the other : ant , bee , mosquito .
Before the meeting , Mary wrote down the following lists of words . One was : robin , sparrow , heron . And the other : grape , cherry , plum .
Before the meeting , Mary wrote down the following lists of words . One was : vulture , robin , sparrow . And the other : satin , velvet , denim .
Before the meeting , Mary wrote down the following lists of words . One was : woodpecker , vulture , robin . And the other : shark , herring , perch .
Before the meeting , Mary wrote down the following lists of words . One was : pigeon , woodpecker , vulture . And the other : carp , pike , trout .
Before the meeting , Mary wrote down the following lists of words . One was : parrot , pigeon , woodpecker . And the other : pan , pot , stove .
Before the meeting , Mary wrote down the following lists of words . One was : hawk , parrot , pigeon . And the other : screws , hammer , saw .
Before the meeting , Mary wrote down the following lists of words . One was : crow , hawk , parrot . And the other : microbiology , chemistry , physics .
Before the meeting , Mary wrote down the following lists of words . One was : eagle , crow , hawk . And the other : cancer , measles , tuberculosis .
Before the meeting , Mary wrote down the following lists of words . One was : heron , eagle , crow . And the other : hat , sweater , shirt .
Before the meeting , Mary wrote down the following lists of words . One was : sparrow , heron , eagle . And the other : smallpox , influenza , encephalitis .
Before the meeting , Mary wrote down the following lists of words . One was : apple , pear , banana . And the other : larceny , adultery , battery .
Before the meeting , Mary wrote down the following lists of words . One was : apricot , apple , pear . And the other : dress , hat , sweater .
Before the meeting , Mary wrote down the following lists of words . One was : lemon , apricot , apple . And the other : clarinet , flute , guitar .
Before the meeting , Mary wrote down the following lists of words . One was : grapefruit , lemon , apricot . And the other : adultery , battery , murder .
Before the meeting , Mary wrote down the following lists of words . One was : plum , grapefruit , lemon . And the other : pine , elm , birch .
Before the meeting , Mary wrote down the following lists of words . One was : cherry , plum , grapefruit . And the other : cup , dish , knife .
Before the meeting , Mary wrote down the following lists of words . One was : grape , cherry , plum . And the other : oak , maple , pine .
Before the meeting , Mary wrote down the following lists of words . One was : peach , grape , cherry . And the other : cave , mountain , hill .
Before the meeting , Mary wrote down the following lists of words . One was : banana , peach , grape . And the other : heron , eagle , crow .
Before the meeting , Mary wrote down the following lists of words . One was : pear , banana , peach . And the other : oxygen , hydrogen , nitrogen .
Before the meeting , Mary wrote down the following lists of words . One was : hammer , saw , nails . And the other : shoes , blouse , skirt .
