Before the meeting , Mary wrote down the following lists of words . One was : patience , notion , movie . And the other : doorway , candle , parent .
Before the meeting , Mary wrote down the following lists of words . One was : center , patience , notion . And the other : lawyer , powder , habit .
Before the meeting , Mary wrote down the following lists of words . One was : eagle , center , patience . And the other : quarter , button , turkey .
Before the meeting , Mary wrote down the following lists of words . One was : silver , eagle , center . And the other : pocket , training , circuit .
Before the meeting , Mary wrote down the following lists of words . One was : folly , silver , eagle . And the other : mountain , district , learning .
Before the meeting , Mary wrote down the following lists of words . One was : novel , folly , silver . And the other : chimney , effort , province .
Before the meeting , Mary wrote down the following lists of words . One was : canoe , novel , folly . And the other : illness , planet , canvas .
Before the meeting , Mary wrote down the following lists of words . One was : women , canoe , novel . And the other : doorway , candle , parent .
Before the meeting , Mary wrote down the following lists of words . One was : movie , women , canoe . And the other : costume , pleasure , pattern .
Before the meeting , Mary wrote down the following lists of words . One was : notion , movie , women . And the other : motive , question , service .
Before the meeting , Mary wrote down the following lists of words . One was : pleasure , pattern , leader . And the other : service , minute , tiger .
Before the meeting , Mary wrote down the following lists of words . One was : costume , pleasure , pattern . And the other : building , county , muscle .
Before the meeting , Mary wrote down the following lists of words . One was : apple , costume , pleasure . And the other : person , season , supper .
Before the meeting , Mary wrote down the following lists of words . One was : writer , apple , costume . And the other : parcel , temple , river .
Before the meeting , Mary wrote down the following lists of words . One was : meadow , writer , apple . And the other : thunder , hatred , stanza .
Before the meeting , Mary wrote down the following lists of words . One was : master , meadow , writer . And the other : hero , water , motor .
Before the meeting , Mary wrote down the following lists of words . One was : worker , master , meadow . And the other : level , money , single .
Before the meeting , Mary wrote down the following lists of words . One was : culture , worker , master . And the other : question , service , minute .
Before the meeting , Mary wrote down the following lists of words . One was : leader , culture , worker . And the other : robber , banner , kitten .
Before the meeting , Mary wrote down the following lists of words . One was : pattern , leader , culture . And the other : riches , paper , belief .
Before the meeting , Mary wrote down the following lists of words . One was : paper , belief , factor . And the other : judgment , blanket , marriage .
Before the meeting , Mary wrote down the following lists of words . One was : riches , paper , belief . And the other : bedroom , canal , dragon .
Before the meeting , Mary wrote down the following lists of words . One was : nothing , riches , paper . And the other : event , weakness , cottage .
Before the meeting , Mary wrote down the following lists of words . One was : pistol , nothing , riches . And the other : witness , widow , image .
Before the meeting , Mary wrote down the following lists of words . One was : battle , pistol , nothing . And the other : women , canoe , novel .
Before the meeting , Mary wrote down the following lists of words . One was : angle , battle , pistol . And the other : colour , product , echo .
Before the meeting , Mary wrote down the following lists of words . One was : comrade , angle , battle . And the other : lover , copy , soldier .
Before the meeting , Mary wrote down the following lists of words . One was : total , comrade , angle . And the other : chamber , future , legend .
Before the meeting , Mary wrote down the following lists of words . One was : factor , total , comrade . And the other : vessel , robber , banner .
Before the meeting , Mary wrote down the following lists of words . One was : belief , factor , total . And the other : window , detail , ocean .
Before the meeting , Mary wrote down the following lists of words . One was : cabin , doorway , candle . And the other : prairie , forehead , illness .
Before the meeting , Mary wrote down the following lists of words . One was : kingdom , cabin , doorway . And the other : money , single , system .
Before the meeting , Mary wrote down the following lists of words . One was : soldier , kingdom , cabin . And the other : province , parcel , temple .
Before the meeting , Mary wrote down the following lists of words . One was : copy , soldier , kingdom . And the other : bargain , chimney , effort .
Before the meeting , Mary wrote down the following lists of words . One was : lover , copy , soldier . And the other : campaign , voyage , cannon .
Before the meeting , Mary wrote down the following lists of words . One was : kindness , lover , copy . And the other : music , oven , patient .
Before the meeting , Mary wrote down the following lists of words . One was : monarch , kindness , lover . And the other : beggar , iron , onion .
Before the meeting , Mary wrote down the following lists of words . One was : parent , monarch , kindness . And the other : dragon , pillow , aspect .
Before the meeting , Mary wrote down the following lists of words . One was : candle , parent , monarch . And the other : custom , twilight , island .
Before the meeting , Mary wrote down the following lists of words . One was : doorway , candle , parent . And the other : danger , bedroom , canal .
Before the meeting , Mary wrote down the following lists of words . One was : future , legend , problem . And the other : wagon , effect , arrow .
Before the meeting , Mary wrote down the following lists of words . One was : chamber , future , legend . And the other : picture , custom , twilight .
Before the meeting , Mary wrote down the following lists of words . One was : canvas , chamber , future . And the other : treasure , event , weakness .
Before the meeting , Mary wrote down the following lists of words . One was : planet , canvas , chamber . And the other : effect , arrow , sailor .
Before the meeting , Mary wrote down the following lists of words . One was : illness , planet , canvas . And the other : acid , stocking , olive .
Before the meeting , Mary wrote down the following lists of words . One was : forehead , illness , planet . And the other : hatred , stanza , summer .
Before the meeting , Mary wrote down the following lists of words . One was : prairie , forehead , illness . And the other : orange , letter , acid .
Before the meeting , Mary wrote down the following lists of words . One was : flavor , prairie , forehead . And the other : surface , writing , pocket .
Before the meeting , Mary wrote down the following lists of words . One was : problem , flavor , prairie . And the other : candle , parent , monarch .
Before the meeting , Mary wrote down the following lists of words . One was : legend , problem , flavor . And the other : county , muscle , vapor .
Before the meeting , Mary wrote down the following lists of words . One was : oven , patient , daughter . And the other : season , supper , reason .
Before the meeting , Mary wrote down the following lists of words . One was : music , oven , patient . And the other : baby , treasure , event .
Before the meeting , Mary wrote down the following lists of words . One was : fountain , music , oven . And the other : novel , folly , silver .
Before the meeting , Mary wrote down the following lists of words . One was : pepper , fountain , music . And the other : stocking , olive , garden .
Before the meeting , Mary wrote down the following lists of words . One was : echo , pepper , fountain . And the other : novel , folly , silver .
Before the meeting , Mary wrote down the following lists of words . One was : product , echo , pepper . And the other : iron , onion , opera .
Before the meeting , Mary wrote down the following lists of words . One was : colour , product , echo . And the other : career , bargain , chimney .
Before the meeting , Mary wrote down the following lists of words . One was : bubble , colour , product . And the other : meadow , writer , apple .
Before the meeting , Mary wrote down the following lists of words . One was : daughter , bubble , colour . And the other : victim , lily , witness .
Before the meeting , Mary wrote down the following lists of words . One was : patient , daughter , bubble . And the other : meaning , campaign , voyage .
Before the meeting , Mary wrote down the following lists of words . One was : village , shipping , beauty . And the other : traitor , engine , timber .
Before the meeting , Mary wrote down the following lists of words . One was : rival , village , shipping . And the other : legend , problem , flavor .
Before the meeting , Mary wrote down the following lists of words . One was : resort , rival , village . And the other : water , motor , lawyer .
Before the meeting , Mary wrote down the following lists of words . One was : research , resort , rival . And the other : canoe , novel , folly .
Before the meeting , Mary wrote down the following lists of words . One was : lumber , research , resort . And the other : bottom , meaning , campaign .
Before the meeting , Mary wrote down the following lists of words . One was : autumn , lumber , research . And the other : meeting , career , bargain .
Before the meeting , Mary wrote down the following lists of words . One was : merit , autumn , lumber . And the other : total , comrade , angle .
Before the meeting , Mary wrote down the following lists of words . One was : football , merit , autumn . And the other : worker , master , meadow .
Before the meeting , Mary wrote down the following lists of words . One was : beauty , football , merit . And the other : onion , opera , attack .
Before the meeting , Mary wrote down the following lists of words . One was : shipping , beauty , football . And the other : pepper , fountain , music .
Before the meeting , Mary wrote down the following lists of words . One was : county , muscle , vapor . And the other : banner , kitten , lemon .
