word	imagery	k-f freq	concreteness
ABSENCE	3	53	3.7
ACCORD	1.8	9	2.6
ACCOUNT	2.6	117	4
ACID	4.4	13	6.1
ACRE	4.6	9	5.7
AFFAIR	5.3	33	3.7
AGENT	4.4	44	5.2
AMOUNT	2.8	172	3.8
ANCHOR	6.5	15	6.3
ANGEL	5.9	18	4
ANGLE	4.7	51	4.9
APPLE	6.7	9	6.9
ARMOR	5.5	4	5.6
ARRAY	3	11	2.9
ARROW	6.4	14	6.8
ARTIST	6	57	5.4
ASPECT	1.7	47	2.5
ATTACK	5.4	105	4.6
AUTHOR	4.6	46	5.9
AUTUMN	6.3	22	5.4
BABY	6.6	62	6.6
BANNER	5.8	8	5.8
BARGAIN	4.2	7	3.9
BARREL	5.6	24	6.8
BASIN	5.3	7	6.5
BASIS	1.9	184	3.3
BASKET	6	17	6.7
BATTLE	6.1	87	5.3
BEAUTY	5.4	71	3.1
BEAVER	6.4	3	6.9
BEDROOM	6.4	52	6.7
BEGGAR	6.1	2	5.8
BEING	2.5	712	3
BELIEF	2.6	64	2.5
BERRY	5.5	9	6.6
BLANKET	6.1	30	6.7
BLESSING	3.2	10	3.1
BODY	6.4	276	6.2
BOTTOM	5.2	88	5.3
BOUNDARY	4.8	16	5
BUBBLE	6.1	12	6.2
BUILDING	6.3	160	6.8
BULLET	6	28	6.9
BUREAU	4.8	43	5.7
BUSHEL	5.4	1	6.4
BUSINESS	4.4	392	5.1
BUTCHER	6	8	6.7
BUTTER	6.3	27	6.6
BUTTON	6.3	10	6.8
CABIN	6.5	23	6.5
CABLE	5	7	6.4
CAMPAIGN	4.2	81	4.6
CANAL	5.4	3	6.4
CANDLE	6.6	18	6.9
CANDY	6.3	16	6.7
CANNON	6.5	7	6.4
CANOE	6.4	7	6.8
CANVAS	5.1	19	6.2
CAPTAIN	6	85	6.7
CAPTIVE	4.8	5	4.5
CARBON	4.5	30	5.9
CAREER	4.4	67	4.8
CARPET	6.1	13	6.9
CARRIAGE	6.2	11	6.3
CASTLE	6.7	7	6.7
CATTLE	6.4	97	6.9
CELLAR	5.7	26	6.5
CENTER	4.6	224	4.4
CHAIRMAN	4.7	67	5.7
CHAMBER	4.9	46	5.9
CHANNEL	5.1	16	5.4
CHAPEL	5.9	20	6.7
CHAPTER	4.5	74	5.5
CHERRY	6.3	6	6.8
CHIMNEY	6.2	7	6.7
CIRCLE	6.1	60	6.4
CIRCUIT	3.8	23	4.7
CITY	6.4	393	6.3
