,token,trialID,positionID,surp,ispunct,prefix,prompt,list_len,stimID,second_list
0,<|endoftext|>,0,0,nan,False,1,1,3,1,repeat
1, Before,0,1,12.528436660766602,False,1,1,3,1,repeat
2, the,0,2,2.472673177719116,False,1,1,3,1,repeat
3, meeting,0,3,6.759090423583984,False,1,1,3,1,repeat
4,",",0,4,0.9914438128471375,True,1,1,3,1,repeat
5, Mary,0,5,8.550331115722656,False,1,1,3,1,repeat
6, wrote,0,6,6.019670009613037,False,1,1,3,1,repeat
7, down,0,7,4.496498107910156,False,1,1,3,1,repeat
8, the,0,8,1.237207055091858,False,1,1,3,1,repeat
9, following,0,9,4.111498832702637,False,1,1,3,1,repeat
10, list,0,10,4.367360591888428,False,1,1,3,1,repeat
11, of,0,11,0.1937805414199829,False,1,1,3,1,repeat
12, words,0,12,5.889763355255127,False,1,1,3,1,repeat
13,:,0,13,1.3915445804595947,True,1,1,3,1,repeat
14, apple,1,0,11.403657913208008,False,1,1,3,1,repeat
15,",",1,1,0.9844114780426025,True,1,1,3,1,repeat
16, spirit,1,2,8.773529052734375,False,1,1,3,1,repeat
17,",",1,3,0.3046078085899353,True,1,1,3,1,repeat
18, music,1,4,6.850928783416748,False,1,1,3,1,repeat
19,.,1,5,3.346791982650757,True,1,1,3,1,repeat
20,After,2,0,10.170475006103516,False,1,1,3,1,repeat
21, a,2,1,3.8809361457824707,False,1,1,3,1,repeat
22, break,2,2,5.010204315185547,False,1,1,3,1,repeat
23,",",2,3,0.3951452672481537,True,1,1,3,1,repeat
24, a,2,4,4.673065662384033,False,1,1,3,1,repeat
25, cup,2,5,5.8979949951171875,False,1,1,3,1,repeat
26, and,2,6,5.043321132659912,False,1,1,3,1,repeat
27, coffee,2,7,4.103152275085449,False,1,1,3,1,repeat
28, of,2,8,5.324227809906006,False,1,1,3,1,repeat
29, had,2,9,11.331990242004395,False,1,1,3,1,repeat
30, she,2,10,5.869936943054199,False,1,1,3,1,repeat
31, the,2,11,7.106916427612305,False,1,1,3,1,repeat
32, took,2,12,10.666537284851074,False,1,1,3,1,repeat
33, meeting,2,13,10.58393383026123,False,1,1,3,1,repeat
34,.,2,14,1.7399297952651978,True,1,1,3,1,repeat
35, When,2,15,4.85649299621582,False,1,1,3,1,repeat
36, she,2,16,1.0718047618865967,False,1,1,3,1,repeat
37, got,2,17,2.7869415283203125,False,1,1,3,1,repeat
38, back,2,18,1.7423502206802368,False,1,1,3,1,repeat
39,",",2,19,1.2957816123962402,True,1,1,3,1,repeat
40, she,2,20,0.5804532766342163,False,1,1,3,1,repeat
41, read,2,21,4.179802894592285,False,1,1,3,1,repeat
42, the,2,22,1.3990514278411865,False,1,1,3,1,repeat
43, list,2,23,1.2521408796310425,False,1,1,3,1,repeat
44, again,2,24,2.364144802093506,False,1,1,3,1,repeat
45,:,2,25,3.1127359867095947,True,1,1,3,1,repeat
46, apple,3,0,2.165487051010132,False,1,1,3,1,repeat
47,",",3,1,0.09353956580162048,True,1,1,3,1,repeat
48, spirit,3,2,0.47914811968803406,False,1,1,3,1,repeat
49,",",3,3,0.03555205091834068,True,1,1,3,1,repeat
50, music,3,4,0.3199606239795685,False,1,1,3,1,repeat
51,.,3,5,0.35698235034942627,True,1,1,3,1,repeat
52, ,3,6,6.578892230987549,False,1,1,3,1,repeat
53,<|endoftext|>,3,7,7.451528549194336,False,1,1,3,1,repeat
0,<|endoftext|>,0,0,nan,False,1,1,3,2,repeat
1, Before,0,1,12.528436660766602,False,1,1,3,2,repeat
2, the,0,2,2.472673177719116,False,1,1,3,2,repeat
3, meeting,0,3,6.759090423583984,False,1,1,3,2,repeat
4,",",0,4,0.9914438128471375,True,1,1,3,2,repeat
5, Mary,0,5,8.550331115722656,False,1,1,3,2,repeat
6, wrote,0,6,6.019670009613037,False,1,1,3,2,repeat
7, down,0,7,4.496498107910156,False,1,1,3,2,repeat
8, the,0,8,1.237207055091858,False,1,1,3,2,repeat
9, following,0,9,4.111498832702637,False,1,1,3,2,repeat
10, list,0,10,4.367360591888428,False,1,1,3,2,repeat
11, of,0,11,0.1937805414199829,False,1,1,3,2,repeat
12, words,0,12,5.889763355255127,False,1,1,3,2,repeat
13,:,0,13,1.3915445804595947,True,1,1,3,2,repeat
14, forest,1,0,12.703496932983398,False,1,1,3,2,repeat
15,",",1,1,0.6536688208580017,True,1,1,3,2,repeat
16, ste,1,2,7.6681060791015625,False,1,1,3,2,repeat
17,amer,1,3,4.2089643478393555,False,1,1,3,2,repeat
18,",",1,4,0.08106701821088791,True,1,1,3,2,repeat
19, mixture,1,5,11.795127868652344,False,1,1,3,2,repeat
20,.,1,6,4.5869855880737305,True,1,1,3,2,repeat
21,After,2,0,10.974790573120117,False,1,1,3,2,repeat
22, a,2,1,3.789048671722412,False,1,1,3,2,repeat
23, break,2,2,5.180390357971191,False,1,1,3,2,repeat
24,",",2,3,0.42786869406700134,True,1,1,3,2,repeat
25, a,2,4,4.582480430603027,False,1,1,3,2,repeat
26, cup,2,5,6.141647815704346,False,1,1,3,2,repeat
27, and,2,6,5.034865379333496,False,1,1,3,2,repeat
28, coffee,2,7,4.151591777801514,False,1,1,3,2,repeat
29, of,2,8,5.15347957611084,False,1,1,3,2,repeat
30, had,2,9,11.351642608642578,False,1,1,3,2,repeat
31, she,2,10,6.152585506439209,False,1,1,3,2,repeat
32, the,2,11,7.241255283355713,False,1,1,3,2,repeat
33, took,2,12,10.518327713012695,False,1,1,3,2,repeat
34, meeting,2,13,10.492166519165039,False,1,1,3,2,repeat
35,.,2,14,1.6342856884002686,True,1,1,3,2,repeat
36, When,2,15,5.028816223144531,False,1,1,3,2,repeat
37, she,2,16,1.1615623235702515,False,1,1,3,2,repeat
38, got,2,17,2.919032573699951,False,1,1,3,2,repeat
39, back,2,18,1.8989111185073853,False,1,1,3,2,repeat
40,",",2,19,1.307237148284912,True,1,1,3,2,repeat
41, she,2,20,0.6289063692092896,False,1,1,3,2,repeat
42, read,2,21,4.241855621337891,False,1,1,3,2,repeat
43, the,2,22,1.3902149200439453,False,1,1,3,2,repeat
44, list,2,23,1.3874976634979248,False,1,1,3,2,repeat
