word	sentid	corpuspos	markers	list_len	dist_len	wlen	surp	hs	dHs
in	0	0	0	2	0	2	4.79677152633667	6.5332417488098145	0.0
the	0	1	0	2	0	3	1.9902441501617432	3.7717363834381104	2.761505365371704
newspaper	0	2	0	2	0	9	11.433998107910156	7.638533115386963	-3.8667967319488525
,	0	3	0	2	0	1	2.3529775142669678	6.238657474517822	1.3998756408691406
somebody	0	4	0	2	0	8	17.40663719177246	4.3492608070373535	1.8893966674804688
wrote	0	5	0	2	0	5	6.853398323059082	8.046598434448242	-3.6973376274108887
the	0	6	0	2	0	3	3.534341812133789	5.278502941131592	2.7680954933166504
following	0	7	0	2	0	9	7.785698413848877	8.798158645629883	-3.519655704498291
words	0	8	0	2	0	5	6.62675142288208	8.160663604736328	0.6374950408935547
:	0	9	0	2	0	1	1.5954397916793823	3.9771318435668945	4.183531761169434
patience	0	10	1	2	0	8	18.71799659729004	2.718076705932617	1.2590551376342773
,	0	11	1	2	0	1	1.43794584274292	4.159799575805664	-1.4417228698730469
notion	0	12	1	2	0	6	19.62291145324707	7.456667423248291	-3.296867847442627
,	0	13	1	2	0	1	1.0509393215179443	2.5354630947113037	4.921204328536987
patience	0	14	1	2	0	8	9.981219291687012	8.707725524902344	-6.17226243019104
,	0	15	1	2	0	1	0.487787663936615	1.1696807146072388	7.538044810295105
notion	0	16	1	2	0	6	16.293601989746094	7.450261116027832	-6.280580401420593
,	0	17	1	2	0	1	0.9324968457221985	2.3187243938446045	5.1315367221832275
patience	0	18	1	2	0	8	9.798371315002441	8.665599822998047	-6.346875429153442
,	0	19	1	2	0	1	0.45445555448532104	1.192278265953064	7.473321557044983
notion	0	20	1	2	0	6	15.721088409423828	7.706812858581543	-6.514534592628479
,	0	21	1	2	0	1	0.8434573411941528	2.348111152648926	5.358701705932617
patience	0	22	1	2	0	8	9.480401039123535	8.71773910522461	-6.369627952575684
,	0	23	1	2	0	1	0.41381359100341797	1.1701090335845947	7.547630071640015
notion	0	24	1	2	0	6	15.79226016998291	8.021178245544434	-6.851069211959839
,	0	25	1	2	0	1	0.7771854996681213	2.3031198978424072	5.718058347702026
patience	0	26	1	2	0	8	9.30497932434082	8.792370796203613	-6.489250898361206
,	0	27	1	2	0	1	0.3944489657878876	1.2086539268493652	7.583716869354248
notion	0	28	1	2	0	6	15.911215782165527	8.255850791931152	-7.047196865081787
.	0	29	1	2	0	1	6.205228805541992	2.274672746658325	5.981178045272827
in	1	0	0	2	0	2	4.79677152633667	6.5332417488098145	0.0
the	1	1	0	2	0	3	1.9902441501617432	3.7717363834381104	2.761505365371704
newspaper	1	2	0	2	0	9	11.433998107910156	7.638533115386963	-3.8667967319488525
,	1	3	0	2	0	1	2.3529775142669678	6.238657474517822	1.3998756408691406
somebody	1	4	0	2	0	8	17.40663719177246	4.3492608070373535	1.8893966674804688
wrote	1	5	0	2	0	5	6.853398323059082	8.046598434448242	-3.6973376274108887
the	1	6	0	2	0	3	3.534341812133789	5.278502941131592	2.7680954933166504
following	1	7	0	2	0	9	7.785698413848877	8.798158645629883	-3.519655704498291
words	1	8	0	2	0	5	6.62675142288208	8.160663604736328	0.6374950408935547
:	1	9	0	2	0	1	1.5954397916793823	3.9771318435668945	4.183531761169434
pleasure	1	10	1	2	0	8	18.423410415649414	2.718076705932617	1.2590551376342773
,	1	11	1	2	0	1	2.9153223037719727	6.673525810241699	-3.955449104309082
pattern	1	12	1	2	0	7	15.083163261413574	9.020939826965332	-2.347414016723633
,	1	13	1	2	0	1	0.9391276836395264	3.3560805320739746	5.664859294891357
pleasure	1	14	1	2	0	8	12.151690483093262	8.649502754211426	-5.293422222137451
,	1	15	1	2	0	1	0.7324387431144714	2.46278715133667	6.186715602874756
pattern	1	16	1	2	0	7	15.639991760253906	8.966803550720215	-6.504016399383545
,	1	17	1	2	0	1	0.5640909671783447	2.2015979290008545	6.76520562171936
pleasure	1	18	1	2	0	8	11.365582466125488	9.321756362915039	-7.120158433914185
,	1	19	1	2	0	1	0.620599627494812	2.159667491912842	7.162088871002197
pattern	1	20	1	2	0	7	16.12948226928711	9.198214530944824	-7.038547039031982
,	1	21	1	2	0	1	0.4948270320892334	2.0030109882354736	7.195203542709351
pleasure	1	22	1	2	0	8	10.916462898254395	9.473820686340332	-7.470809698104858
,	1	23	1	2	0	1	0.5394436717033386	1.8833224773406982	7.590498208999634
pattern	1	24	1	2	0	7	16.381107330322266	9.322607040405273	-7.439284563064575
,	1	25	1	2	0	1	0.4452474117279053	1.857469916343689	7.4651371240615845
pleasure	1	26	1	2	0	8	10.698047637939453	9.503617286682129	-7.64614737033844
,	1	27	1	2	0	1	0.4997507631778717	1.7960553169250488	7.70756196975708
pattern	1	28	1	2	0	7	16.525178909301758	9.368040084838867	-7.571984767913818
.	1	29	1	2	0	1	7.891110897064209	1.7949488162994385	7.573091268539429
in	2	0	0	2	0	2	4.79677152633667	6.5332417488098145	0.0
the	2	1	0	2	0	3	1.9902441501617432	3.7717363834381104	2.761505365371704
newspaper	2	2	0	2	0	9	11.433998107910156	7.638533115386963	-3.8667967319488525
,	2	3	0	2	0	1	2.3529775142669678	6.238657474517822	1.3998756408691406
somebody	2	4	0	2	0	8	17.40663719177246	4.3492608070373535	1.8893966674804688
wrote	2	5	0	2	0	5	6.853398323059082	8.046598434448242	-3.6973376274108887
the	2	6	0	2	0	3	3.534341812133789	5.278502941131592	2.7680954933166504
following	2	7	0	2	0	9	7.785698413848877	8.798158645629883	-3.519655704498291
words	2	8	0	2	0	5	6.62675142288208	8.160663604736328	0.6374950408935547
:	2	9	0	2	0	1	1.5954397916793823	3.9771318435668945	4.183531761169434
paper	2	10	1	2	0	5	15.94687271118164	2.718076705932617	1.2590551376342773
,	2	11	1	2	0	1	2.947577714920044	7.504685401916504	-4.786608695983887
belief	2	12	1	2	0	6	14.794181823730469	9.202101707458496	-1.6974163055419922
,	2	13	1	2	0	1	0.9873225688934326	3.193281650543213	6.008820056915283
paper	2	14	1	2	0	5	12.838404655456543	7.6597185134887695	-4.466436862945557
