word	sentid	corpuspos	markers	list_len	prompt_len	wlen	surp	hs	dHs
before	0	0	0	3	1	6	12.175455093383789	5.69603967666626	0.0
the	0	1	0	3	1	3	1.47728431224823	5.135690689086914	0.5603489875793457
meeting	0	2	0	3	1	7	8.561812400817871	8.300494194030762	-3.1648035049438477
,	0	3	0	3	1	1	0.989509642124176	4.0994768142700195	4.201017379760742
<unk>	0	4	0	3	1	5	1.5845153331756592	4.64409065246582	-0.5446138381958008
wrote	0	5	0	3	1	5	6.152081489562988	7.3578386306762695	-2.713747978210449
down	0	6	0	3	1	4	11.714888572692871	5.0509748458862305	2.306863784790039
the	0	7	0	3	1	3	2.121814250946045	5.512060642242432	-0.46108579635620117
following	0	8	0	3	1	9	7.313302993774414	9.681784629821777	-4.169723987579346
lists	0	9	0	3	1	5	13.648065567016602	6.734681129455566	2.947103500366211
of	0	10	0	3	1	2	2.82932448387146	3.8980631828308105	2.836617946624756
words	0	11	0	3	1	5	12.689349174499512	4.843432903289795	-0.9453697204589844
.	0	12	0	3	1	1	2.9660675525665283	5.659689903259277	-0.8162569999694824
one	0	13	0	3	1	3	27.016033172607422	0.22724972665309906	5.432440176606178
was	0	14	0	3	1	3	6.645137310028076	7.659034252166748	-7.431784525513649
:	0	15	0	3	1	1	7.532893657684326	7.843733310699463	-0.18469905853271484
patience	0	16	1	3	1	8	17.59474754333496	4.381019115447998	3.462714195251465
,	0	17	1	3	1	1	1.4878097772598267	5.106598854064941	-0.7255797386169434
notion	0	18	1	3	1	6	14.460854530334473	9.570473670959473	-4.463874816894531
,	0	19	1	3	1	1	0.6070693135261536	2.014090061187744	7.5563836097717285
movie	0	20	1	3	1	5	13.851471900939941	7.10658073425293	-5.0924906730651855
.	0	21	1	3	1	1	7.406496047973633	3.789139986038208	3.3174407482147217
and	0	22	2	3	1	3	19.875673294067383	0.1712327003479004	3.6179072856903076
the	0	23	2	3	1	3	3.4345271587371826	8.607268333435059	-8.436035633087158
other	0	24	2	3	1	5	7.3375725746154785	10.563502311706543	-1.9562339782714844
:	0	25	2	3	1	1	7.710453033447266	9.402217864990234	1.1612844467163086
engine	0	26	3	3	1	6	18.375547409057617	6.72015380859375	2.6820640563964844
,	0	27	3	3	1	1	3.580173969268799	9.16297435760498	-2.4428205490112305
timber	0	28	3	3	1	6	14.708605766296387	10.182807922363281	-1.0198335647583008
,	0	29	3	3	1	1	0.5677211284637451	2.7436790466308594	7.439128875732422
harbour	0	30	3	3	1	7	16.42136001586914	7.416731834411621	-4.673052787780762
.	0	31	3	3	1	1	7.586816310882568	3.976074457168579	3.440657377243042
before	1	0	0	3	1	6	12.175455093383789	5.69603967666626	0.0
the	1	1	0	3	1	3	1.47728431224823	5.135690689086914	0.5603489875793457
meeting	1	2	0	3	1	7	8.561812400817871	8.300494194030762	-3.1648035049438477
,	1	3	0	3	1	1	0.989509642124176	4.0994768142700195	4.201017379760742
<unk>	1	4	0	3	1	5	1.5845153331756592	4.64409065246582	-0.5446138381958008
wrote	1	5	0	3	1	5	6.152081489562988	7.3578386306762695	-2.713747978210449
down	1	6	0	3	1	4	11.714888572692871	5.0509748458862305	2.306863784790039
the	1	7	0	3	1	3	2.121814250946045	5.512060642242432	-0.46108579635620117
following	1	8	0	3	1	9	7.313302993774414	9.681784629821777	-4.169723987579346
lists	1	9	0	3	1	5	13.648065567016602	6.734681129455566	2.947103500366211
of	1	10	0	3	1	2	2.82932448387146	3.8980631828308105	2.836617946624756
words	1	11	0	3	1	5	12.689349174499512	4.843432903289795	-0.9453697204589844
.	1	12	0	3	1	1	2.9660675525665283	5.659689903259277	-0.8162569999694824
one	1	13	0	3	1	3	27.016033172607422	0.22724972665309906	5.432440176606178
was	1	14	0	3	1	3	6.645137310028076	7.659034252166748	-7.431784525513649
:	1	15	0	3	1	1	7.532893657684326	7.843733310699463	-0.18469905853271484
pleasure	1	16	1	3	1	8	18.927270889282227	4.381019115447998	3.462714195251465
,	1	17	1	3	1	1	2.2185606956481934	6.399007797241211	-2.017988681793213
pattern	1	18	1	3	1	7	15.147882461547852	8.771175384521484	-2.3721675872802734
,	1	19	1	3	1	1	0.9417083859443665	3.6887967586517334	5.082378625869751
leader	1	20	1	3	1	6	13.964849472045898	7.757448673248291	-4.068651914596558
.	1	21	1	3	1	1	6.974164009094238	2.7979037761688232	4.959544897079468
and	1	22	2	3	1	3	20.58356475830078	0.16541722416877747	2.6324865520000458
the	1	23	2	3	1	3	3.2852132320404053	7.96560001373291	-7.800182789564133
other	1	24	2	3	1	5	6.497763156890869	10.337193489074707	-2.371593475341797
:	1	25	2	3	1	1	7.646594047546387	8.992913246154785	1.3442802429199219
vessel	1	26	3	3	1	6	18.75143051147461	6.501343250274658	2.491569995880127
,	1	27	3	3	1	1	2.889619827270508	7.587565898895264	-1.0862226486206055
robber	1	28	3	3	1	6	16.68750762939453	8.775880813598633	-1.1883149147033691
,	1	29	3	3	1	1	0.4295845031738281	2.0305867195129395	6.745294094085693
banner	1	30	3	3	1	6	13.211281776428223	8.216120719909668	-6.1855340003967285
.	1	31	3	3	1	1	6.907978534698486	2.126372814178467	6.089747905731201
before	2	0	0	3	1	6	12.175455093383789	5.69603967666626	0.0
the	2	1	0	3	1	3	1.47728431224823	5.135690689086914	0.5603489875793457
meeting	2	2	0	3	1	7	8.561812400817871	8.300494194030762	-3.1648035049438477
,	2	3	0	3	1	1	0.989509642124176	4.0994768142700195	4.201017379760742
<unk>	2	4	0	3	1	5	1.5845153331756592	4.64409065246582	-0.5446138381958008
wrote	2	5	0	3	1	5	6.152081489562988	7.3578386306762695	-2.713747978210449
down	2	6	0	3	1	4	11.714888572692871	5.0509748458862305	2.306863784790039
the	2	7	0	3	1	3	2.121814250946045	5.512060642242432	-0.46108579635620117
following	2	8	0	3	1	9	7.313302993774414	9.681784629821777	-4.169723987579346
lists	2	9	0	3	1	5	13.648065567016602	6.734681129455566	2.947103500366211
of	2	10	0	3	1	2	2.82932448387146	3.8980631828308105	2.836617946624756
words	2	11	0	3	1	5	12.689349174499512	4.843432903289795	-0.9453697204589844
.	2	12	0	3	1	1	2.9660675525665283	5.659689903259277	-0.8162569999694824
one	2	13	0	3	1	3	27.016033172607422	0.22724972665309906	5.432440176606178
was	2	14	0	3	1	3	6.645137310028076	7.659034252166748	-7.431784525513649
:	2	15	0	3	1	1	7.532893657684326	7.843733310699463	-0.18469905853271484
paper	2	16	1	3	1	5	16.322162628173828	4.381019115447998	3.462714195251465
,	2	17	1	3	1	1	2.777505397796631	7.579775810241699	-3.198756694793701
belief	2	18	1	3	1	6	15.218563079833984	8.653268814086914	-1.0734930038452148
,	2	19	1	3	1	1	0.763569176197052	2.9249887466430664	5.728280067443848
factor	2	20	1	3	1	6	16.108747482299805	8.019383430480957	-5.094394683837891
.	2	21	1	3	1	1	7.262310028076172	5.121731281280518	2.8976521492004395
and	2	22	2	3	1	3	20.578418731689453	0.10825946927070618	5.013471812009811
the	2	23	2	3	1	3	2.839817523956299	8.325809478759766	-8.21755000948906
other	2	24	2	3	1	5	7.517271995544434	10.47187328338623	-2.146063804626465
:	2	25	2	3	1	1	7.19580078125	9.361926078796387	1.1099472045898438
candy	2	26	3	3	1	5	19.315994262695312	6.504341125488281	2.8575849533081055
,	2	27	3	3	1	1	2.514188766479492	6.863293647766113	-0.35895252227783203
window	2	28	3	3	1	6	14.703405380249023	8.708512306213379	-1.8452186584472656
,	2	29	3	3	1	1	1.6070345640182495	6.192584991455078	2.515927314758301
detail	2	30	3	3	1	6	13.7368803024292	8.700684547424316	-2.5080995559692383
.	2	31	3	3	1	1	6.614302158355713	2.0797903537750244	6.620894193649292
before	3	0	0	3	1	6	12.175455093383789	5.69603967666626	0.0
the	3	1	0	3	1	3	1.47728431224823	5.135690689086914	0.5603489875793457
meeting	3	2	0	3	1	7	8.561812400817871	8.300494194030762	-3.1648035049438477
,	3	3	0	3	1	1	0.989509642124176	4.0994768142700195	4.201017379760742
<unk>	3	4	0	3	1	5	1.5845153331756592	4.64409065246582	-0.5446138381958008
wrote	3	5	0	3	1	5	6.152081489562988	7.3578386306762695	-2.713747978210449
down	3	6	0	3	1	4	11.714888572692871	5.0509748458862305	2.306863784790039
the	3	7	0	3	1	3	2.121814250946045	5.512060642242432	-0.46108579635620117
following	3	8	0	3	1	9	7.313302993774414	9.681784629821777	-4.169723987579346
lists	3	9	0	3	1	5	13.648065567016602	6.734681129455566	2.947103500366211
of	3	10	0	3	1	2	2.82932448387146	3.8980631828308105	2.836617946624756
words	3	11	0	3	1	5	12.689349174499512	4.843432903289795	-0.9453697204589844
