word	sentid	corpuspos	markers	list_len	prompt_len	wlen	surp	hs	dHs
before	0	0	0	3	1	6	12.175455093383789	5.69603967666626	0.0
the	0	1	0	3	1	3	1.47728431224823	5.135690689086914	0.5603489875793457
meeting	0	2	0	3	1	7	8.561812400817871	8.300494194030762	-3.1648035049438477
,	0	3	0	3	1	1	0.989509642124176	4.0994768142700195	4.201017379760742
<unk>	0	4	0	3	1	5	1.5845153331756592	4.64409065246582	-0.5446138381958008
wrote	0	5	0	3	1	5	6.152081489562988	7.3578386306762695	-2.713747978210449
down	0	6	0	3	1	4	11.714888572692871	5.0509748458862305	2.306863784790039
the	0	7	0	3	1	3	2.121814250946045	5.512060642242432	-0.46108579635620117
following	0	8	0	3	1	9	7.313302993774414	9.681784629821777	-4.169723987579346
lists	0	9	0	3	1	5	13.648065567016602	6.734681129455566	2.947103500366211
of	0	10	0	3	1	2	2.82932448387146	3.8980631828308105	2.836617946624756
words	0	11	0	3	1	5	12.689349174499512	4.843432903289795	-0.9453697204589844
.	0	12	0	3	1	1	2.9660675525665283	5.659689903259277	-0.8162569999694824
one	0	13	0	3	1	3	27.016033172607422	0.22724972665309906	5.432440176606178
was	0	14	0	3	1	3	6.645137310028076	7.659034252166748	-7.431784525513649
:	0	15	0	3	1	1	7.532893657684326	7.843733310699463	-0.18469905853271484
window	0	16	1	3	1	6	19.96687126159668	4.381019115447998	3.462714195251465
,	0	17	1	3	1	1	3.8122293949127197	6.892321586608887	-2.5113024711608887
door	0	18	1	3	1	4	10.903409957885742	8.585904121398926	-1.693582534790039
,	0	19	1	3	1	1	0.999043345451355	4.242290496826172	4.343613624572754
roof	0	20	1	3	1	4	11.103631973266602	8.463025093078613	-4.220734596252441
.	0	21	1	3	1	1	6.169117450714111	3.0065033435821533	5.45652174949646
and	0	22	2	3	1	3	21.985776901245117	0.08767762035131454	2.9188257232308388
the	0	23	2	3	1	3	2.534062147140503	7.529055595397949	-7.441377975046635
other	0	24	2	3	1	5	5.908818244934082	10.205942153930664	-2.676886558532715
:	0	25	2	3	1	1	10.336275100708008	8.93989372253418	1.2660484313964844
roof	0	26	3	3	1	4	17.834054946899414	6.221132755279541	2.7187609672546387
,	0	27	3	3	1	1	3.0549283027648926	7.950716018676758	-1.7295832633972168
window	0	28	3	3	1	6	5.590551376342773	9.818024635314941	-1.8673086166381836
,	0	29	3	3	1	1	0.8397749662399292	4.0364089012146	5.781615734100342
door	0	30	3	3	1	4	8.069075584411621	8.116979598999023	-4.080570697784424
.	0	31	3	3	1	1	7.448207855224609	3.6036102771759033	4.51336932182312
before	1	0	0	3	1	6	12.175455093383789	5.69603967666626	0.0
the	1	1	0	3	1	3	1.47728431224823	5.135690689086914	0.5603489875793457
meeting	1	2	0	3	1	7	8.561812400817871	8.300494194030762	-3.1648035049438477
,	1	3	0	3	1	1	0.989509642124176	4.0994768142700195	4.201017379760742
<unk>	1	4	0	3	1	5	1.5845153331756592	4.64409065246582	-0.5446138381958008
wrote	1	5	0	3	1	5	6.152081489562988	7.3578386306762695	-2.713747978210449
down	1	6	0	3	1	4	11.714888572692871	5.0509748458862305	2.306863784790039
the	1	7	0	3	1	3	2.121814250946045	5.512060642242432	-0.46108579635620117
following	1	8	0	3	1	9	7.313302993774414	9.681784629821777	-4.169723987579346
lists	1	9	0	3	1	5	13.648065567016602	6.734681129455566	2.947103500366211
of	1	10	0	3	1	2	2.82932448387146	3.8980631828308105	2.836617946624756
words	1	11	0	3	1	5	12.689349174499512	4.843432903289795	-0.9453697204589844
.	1	12	0	3	1	1	2.9660675525665283	5.659689903259277	-0.8162569999694824
one	1	13	0	3	1	3	27.016033172607422	0.22724972665309906	5.432440176606178
was	1	14	0	3	1	3	6.645137310028076	7.659034252166748	-7.431784525513649
:	1	15	0	3	1	1	7.532893657684326	7.843733310699463	-0.18469905853271484
leg	1	16	1	3	1	3	20.152149200439453	4.381019115447998	3.462714195251465
,	1	17	1	3	1	1	3.905721664428711	6.090398788452148	-1.7093796730041504
arms	1	18	1	3	1	4	11.255643844604492	8.522134780883789	-2.4317359924316406
,	1	19	1	3	1	1	0.6411662697792053	3.2259750366210938	5.296159744262695
head	1	20	1	3	1	4	8.028046607971191	8.961967468261719	-5.735992431640625
.	1	21	1	3	1	1	7.954759120941162	2.956012010574341	6.005955457687378
and	1	22	2	3	1	3	20.935373306274414	0.09620378166437149	2.8598082289099693
the	1	23	2	3	1	3	3.113471746444702	8.875304222106934	-8.779100440442562
other	1	24	2	3	1	5	6.380012035369873	9.973010063171387	-1.0977058410644531
:	1	25	2	3	1	1	8.32306957244873	8.694355010986328	1.2786550521850586
head	1	26	3	3	1	4	12.919534683227539	6.272705554962158	2.42164945602417
,	1	27	3	3	1	1	4.172120094299316	6.396334171295166	-0.12362861633300781
leg	1	28	3	3	1	3	9.668710708618164	9.25168514251709	-2.855350971221924
,	1	29	3	3	1	1	1.3256627321243286	5.1066765785217285	4.145008563995361
arms	1	30	3	3	1	4	8.42362117767334	8.086860656738281	-2.9801840782165527
.	1	31	3	3	1	1	6.970346927642822	2.5645546913146973	5.522305965423584
before	2	0	0	3	1	6	12.175455093383789	5.69603967666626	0.0
the	2	1	0	3	1	3	1.47728431224823	5.135690689086914	0.5603489875793457
meeting	2	2	0	3	1	7	8.561812400817871	8.300494194030762	-3.1648035049438477
,	2	3	0	3	1	1	0.989509642124176	4.0994768142700195	4.201017379760742
<unk>	2	4	0	3	1	5	1.5845153331756592	4.64409065246582	-0.5446138381958008
wrote	2	5	0	3	1	5	6.152081489562988	7.3578386306762695	-2.713747978210449
down	2	6	0	3	1	4	11.714888572692871	5.0509748458862305	2.306863784790039
the	2	7	0	3	1	3	2.121814250946045	5.512060642242432	-0.46108579635620117
following	2	8	0	3	1	9	7.313302993774414	9.681784629821777	-4.169723987579346
lists	2	9	0	3	1	5	13.648065567016602	6.734681129455566	2.947103500366211
of	2	10	0	3	1	2	2.82932448387146	3.8980631828308105	2.836617946624756
words	2	11	0	3	1	5	12.689349174499512	4.843432903289795	-0.9453697204589844
.	2	12	0	3	1	1	2.9660675525665283	5.659689903259277	-0.8162569999694824
one	2	13	0	3	1	3	27.016033172607422	0.22724972665309906	5.432440176606178
was	2	14	0	3	1	3	6.645137310028076	7.659034252166748	-7.431784525513649
:	2	15	0	3	1	1	7.532893657684326	7.843733310699463	-0.18469905853271484
sailboat	2	16	1	3	1	8	23.71160888671875	4.381019115447998	3.462714195251465
,	2	17	1	3	1	1	2.478893995285034	7.79185152053833	-3.410832405090332
destroyer	2	18	1	3	1	9	14.976543426513672	8.362936019897461	-0.5710844993591309
,	2	19	1	3	1	1	0.8379243016242981	3.5706188678741455	4.792317152023315
battleship	2	20	1	3	1	10	12.84968376159668	7.715725898742676	-4.14510703086853
.	2	21	1	3	1	1	6.334122180938721	3.492347478866577	4.223378419876099
and	2	22	2	3	1	3	20.8147029876709	0.11885380744934082	3.3734936714172363
the	2	23	2	3	1	3	2.8472349643707275	8.114426612854004	-7.995572805404663
other	2	24	2	3	1	5	5.385301113128662	9.56448745727539	-1.4500608444213867
:	2	25	2	3	1	1	9.319059371948242	8.646368980407715	0.9181184768676758
battleship	2	26	3	3	1	10	15.404472351074219	6.3747406005859375	2.2716283798217773
,	2	27	3	3	1	1	3.5079522132873535	7.593375205993652	-1.2186346054077148
sailboat	2	28	3	3	1	8	19.685619354248047	8.41617202758789	-0.8227968215942383
,	2	29	3	3	1	1	0.704208254814148	3.5013480186462402	4.91482400894165
destroyer	2	30	3	3	1	9	9.064201354980469	7.26108980178833	-3.75974178314209
.	2	31	3	3	1	1	6.157278537750244	3.1669414043426514	4.094148397445679
before	3	0	0	3	1	6	12.175455093383789	5.69603967666626	0.0
the	3	1	0	3	1	3	1.47728431224823	5.135690689086914	0.5603489875793457
meeting	3	2	0	3	1	7	8.561812400817871	8.300494194030762	-3.1648035049438477
,	3	3	0	3	1	1	0.989509642124176	4.0994768142700195	4.201017379760742
<unk>	3	4	0	3	1	5	1.5845153331756592	4.64409065246582	-0.5446138381958008
wrote	3	5	0	3	1	5	6.152081489562988	7.3578386306762695	-2.713747978210449
down	3	6	0	3	1	4	11.714888572692871	5.0509748458862305	2.306863784790039
the	3	7	0	3	1	3	2.121814250946045	5.512060642242432	-0.46108579635620117
following	3	8	0	3	1	9	7.313302993774414	9.681784629821777	-4.169723987579346
lists	3	9	0	3	1	5	13.648065567016602	6.734681129455566	2.947103500366211
of	3	10	0	3	1	2	2.82932448387146	3.8980631828308105	2.836617946624756
words	3	11	0	3	1	5	12.689349174499512	4.843432903289795	-0.9453697204589844
