word	sentid	corpuspos	markers	list_len	dist_len	wlen	surp	hs	dHs
in	0	0	0	2	0	2	5.544310569763184	6.553743362426758	0.0
the	0	1	0	2	0	3	2.0980021953582764	4.032464981079102	2.5212783813476562
newspaper	0	2	0	2	0	9	11.147814750671387	8.084455490112305	-4.051990509033203
,	0	3	0	2	0	1	1.9588539600372314	5.661013126373291	2.4234423637390137
somebody	0	4	0	2	0	8	15.817120552062988	4.809051513671875	0.851961612701416
wrote	0	5	0	2	0	5	7.692904472351074	7.7019500732421875	-2.8928985595703125
the	0	6	0	2	0	3	3.0689480304718018	5.419711112976074	2.2822389602661133
following	0	7	0	2	0	9	8.482593536376953	8.943402290344238	-3.523691177368164
words	0	8	0	2	0	5	7.36295747756958	7.609311103820801	1.3340911865234375
:	0	9	0	2	0	1	2.1142756938934326	4.3793416023254395	3.2299695014953613
patience	0	10	1	2	0	8	16.78805160522461	2.7193245887756348	1.6600170135498047
,	0	11	1	2	0	1	1.6855518817901611	5.33577823638916	-2.6164536476135254
notion	0	12	1	2	0	6	15.924397468566895	8.517101287841797	-3.1813230514526367
,	0	13	1	2	0	1	1.0514816045761108	2.726560592651367	5.79054069519043
patience	0	14	1	2	0	8	11.079144477844238	7.999943733215332	-5.273383140563965
,	0	15	1	2	0	1	0.6001729965209961	1.7255640029907227	6.274379730224609
notion	0	16	1	2	0	6	15.585515975952148	8.868375778198242	-7.1428117752075195
,	0	17	1	2	0	1	0.7767491936683655	2.1602776050567627	6.7080981731414795
patience	0	18	1	2	0	8	10.600310325622559	8.172394752502441	-6.012117147445679
,	0	19	1	2	0	1	0.563179612159729	1.5504896640777588	6.621905088424683
notion	0	20	1	2	0	6	15.702372550964355	8.901322364807129	-7.35083270072937
,	0	21	1	2	0	1	0.7556790709495544	2.084266424179077	6.817055940628052
patience	0	22	1	2	0	8	10.324270248413086	8.346721649169922	-6.262455224990845
,	0	23	1	2	0	1	0.5713238716125488	1.5440329313278198	6.802688717842102
notion	0	24	1	2	0	6	15.664185523986816	8.914546966552734	-7.3705140352249146
,	0	25	1	2	0	1	0.7809027433395386	2.1184699535369873	6.796077013015747
patience	0	26	1	2	0	8	10.111259460449219	8.450418472290039	-6.331948518753052
,	0	27	1	2	0	1	0.586757481098175	1.5651233196258545	6.885295152664185
notion	0	28	1	2	0	6	15.591754913330078	8.922748565673828	-7.357625246047974
.	0	29	1	2	0	1	6.242944717407227	2.1703858375549316	6.7523627281188965
in	1	0	0	2	0	2	5.544310569763184	6.553743362426758	0.0
the	1	1	0	2	0	3	2.0980021953582764	4.032464981079102	2.5212783813476562
newspaper	1	2	0	2	0	9	11.147814750671387	8.084455490112305	-4.051990509033203
,	1	3	0	2	0	1	1.9588539600372314	5.661013126373291	2.4234423637390137
somebody	1	4	0	2	0	8	15.817120552062988	4.809051513671875	0.851961612701416
wrote	1	5	0	2	0	5	7.692904472351074	7.7019500732421875	-2.8928985595703125
the	1	6	0	2	0	3	3.0689480304718018	5.419711112976074	2.2822389602661133
following	1	7	0	2	0	9	8.482593536376953	8.943402290344238	-3.523691177368164
words	1	8	0	2	0	5	7.36295747756958	7.609311103820801	1.3340911865234375
:	1	9	0	2	0	1	2.1142756938934326	4.3793416023254395	3.2299695014953613
pleasure	1	10	1	2	0	8	18.189125061035156	2.7193245887756348	1.6600170135498047
,	1	11	1	2	0	1	2.401008129119873	6.501324653625488	-3.7820000648498535
pattern	1	12	1	2	0	7	14.665471076965332	9.830451011657715	-3.3291263580322266
,	1	13	1	2	0	1	0.8318828344345093	3.694528341293335	6.13592267036438
pleasure	1	14	1	2	0	8	11.657674789428711	8.446264266967773	-4.7517359256744385
,	1	15	1	2	0	1	0.8490937948226929	3.38893461227417	5.0573296546936035
pattern	1	16	1	2	0	7	13.714844703674316	9.656179428100586	-6.267244815826416
,	1	17	1	2	0	1	0.6659897565841675	2.937980890274048	6.718198537826538
pleasure	1	18	1	2	0	8	11.060681343078613	9.176132202148438	-6.23815131187439
,	1	19	1	2	0	1	0.7127805352210999	2.9431064128875732	6.233025789260864
pattern	1	20	1	2	0	7	13.421895027160645	9.656597137451172	-6.713490724563599
,	1	21	1	2	0	1	0.6247773766517639	2.854670524597168	6.801926612854004
pleasure	1	22	1	2	0	8	10.960553169250488	9.34290599822998	-6.4882354736328125
,	1	23	1	2	0	1	0.6578545570373535	2.7559521198272705	6.58695387840271
pattern	1	24	1	2	0	7	13.264961242675781	9.652268409729004	-6.896316289901733
,	1	25	1	2	0	1	0.6240907311439514	2.905198097229004	6.7470703125
pleasure	1	26	1	2	0	8	10.92276668548584	9.434988975524902	-6.529790878295898
,	1	27	1	2	0	1	0.6270356178283691	2.6566872596740723	6.77830171585083
pattern	1	28	1	2	0	7	13.141213417053223	9.645173072814941	-6.988485813140869
.	1	29	1	2	0	1	7.331456661224365	3.004284143447876	6.640888929367065
in	2	0	0	2	0	2	5.544310569763184	6.553743362426758	0.0
the	2	1	0	2	0	3	2.0980021953582764	4.032464981079102	2.5212783813476562
newspaper	2	2	0	2	0	9	11.147814750671387	8.084455490112305	-4.051990509033203
,	2	3	0	2	0	1	1.9588539600372314	5.661013126373291	2.4234423637390137
somebody	2	4	0	2	0	8	15.817120552062988	4.809051513671875	0.851961612701416
wrote	2	5	0	2	0	5	7.692904472351074	7.7019500732421875	-2.8928985595703125
the	2	6	0	2	0	3	3.0689480304718018	5.419711112976074	2.2822389602661133
following	2	7	0	2	0	9	8.482593536376953	8.943402290344238	-3.523691177368164
words	2	8	0	2	0	5	7.36295747756958	7.609311103820801	1.3340911865234375
:	2	9	0	2	0	1	2.1142756938934326	4.3793416023254395	3.2299695014953613
paper	2	10	1	2	0	5	16.361591339111328	2.7193245887756348	1.6600170135498047
,	2	11	1	2	0	1	2.697854995727539	7.697073936462402	-4.977749347686768
belief	2	12	1	2	0	6	14.696817398071289	10.007572174072266	-2.3104982376098633
,	2	13	1	2	0	1	0.6183810234069824	2.525853395462036	7.4817187786102295
