word	sentid	corpuspos	markers	list_len	prompt_len	wlen	surp	hs	dHs
before	0	0	0	3	1	6	10.714213371276855	6.553743362426758	0.0
the	0	1	0	3	1	3	1.4650739431381226	5.086152076721191	1.4675912857055664
meeting	0	2	0	3	1	7	9.311681747436523	8.243603706359863	-3.157451629638672
,	0	3	0	3	1	1	1.6080825328826904	4.734477996826172	3.5091257095336914
<unk>	0	4	0	3	1	5	1.4247276782989502	4.2400689125061035	0.49440908432006836
wrote	0	5	0	3	1	5	6.814661979675293	7.356296539306641	-3.116227626800537
down	0	6	0	3	1	4	12.825581550598145	4.98132848739624	2.3749680519104004
the	0	7	0	3	1	3	1.7428288459777832	5.492379665374756	-0.5110511779785156
following	0	8	0	3	1	9	8.92322063446045	9.797667503356934	-4.305287837982178
lists	0	9	0	3	1	5	12.797292709350586	7.41193151473999	2.3857359886169434
of	0	10	0	3	1	2	2.3742551803588867	4.099847793579102	3.3120837211608887
words	0	11	0	3	1	5	8.55329704284668	6.32438325881958	-2.2245354652404785
.	0	12	0	3	1	1	3.4018023014068604	4.959453105926514	1.3649301528930664
one	0	13	0	3	1	3	23.38852310180664	0.24195319414138794	4.717499911785126
was	0	14	0	3	1	3	10.906907081604004	6.619399547576904	-6.377446353435516
:	0	15	0	3	1	1	10.152555465698242	8.015594482421875	-1.3961949348449707
patience	0	16	1	3	1	8	17.046653747558594	4.736546993255615	3.2790474891662598
,	0	17	1	3	1	1	1.5941234827041626	5.266391277313232	-0.5298442840576172
notion	0	18	1	3	1	6	17.208721160888672	8.588082313537598	-3.3216910362243652
,	0	19	1	3	1	1	0.9762762188911438	2.5223727226257324	6.065709590911865
movie	0	20	1	3	1	5	16.023117065429688	7.597951889038086	-5.0755791664123535
.	0	21	1	3	1	1	7.41694974899292	5.502835273742676	2.09511661529541
and	0	22	2	3	1	3	20.388202667236328	0.35618865489959717	5.146646618843079
the	0	23	2	3	1	3	3.435706853866577	7.195465087890625	-6.839276432991028
other	0	24	2	3	1	5	5.419632434844971	9.598556518554688	-2.4030914306640625
:	0	25	2	3	1	1	7.459066390991211	9.106806755065918	0.49174976348876953
engine	0	26	3	3	1	6	19.33757781982422	6.566526412963867	2.540280342102051
,	0	27	3	3	1	1	3.1379802227020264	7.2111101150512695	-0.6445837020874023
timber	0	28	3	3	1	6	15.5406494140625	9.881352424621582	-2.6702423095703125
,	0	29	3	3	1	1	0.6125519871711731	2.8866145610809326	6.994737863540649
harbour	0	30	3	3	1	7	13.974738121032715	7.880584239959717	-4.993969678878784
.	0	31	3	3	1	1	7.901561737060547	4.606856822967529	3.2737274169921875
before	1	0	0	3	1	6	10.714213371276855	6.553743362426758	0.0
the	1	1	0	3	1	3	1.4650739431381226	5.086152076721191	1.4675912857055664
meeting	1	2	0	3	1	7	9.311681747436523	8.243603706359863	-3.157451629638672
,	1	3	0	3	1	1	1.6080825328826904	4.734477996826172	3.5091257095336914
<unk>	1	4	0	3	1	5	1.4247276782989502	4.2400689125061035	0.49440908432006836
wrote	1	5	0	3	1	5	6.814661979675293	7.356296539306641	-3.116227626800537
down	1	6	0	3	1	4	12.825581550598145	4.98132848739624	2.3749680519104004
the	1	7	0	3	1	3	1.7428288459777832	5.492379665374756	-0.5110511779785156
following	1	8	0	3	1	9	8.92322063446045	9.797667503356934	-4.305287837982178
lists	1	9	0	3	1	5	12.797292709350586	7.41193151473999	2.3857359886169434
of	1	10	0	3	1	2	2.3742551803588867	4.099847793579102	3.3120837211608887
words	1	11	0	3	1	5	8.55329704284668	6.32438325881958	-2.2245354652404785
.	1	12	0	3	1	1	3.4018023014068604	4.959453105926514	1.3649301528930664
one	1	13	0	3	1	3	23.38852310180664	0.24195319414138794	4.717499911785126
was	1	14	0	3	1	3	10.906907081604004	6.619399547576904	-6.377446353435516
:	1	15	0	3	1	1	10.152555465698242	8.015594482421875	-1.3961949348449707
pleasure	1	16	1	3	1	8	17.24398422241211	4.736546993255615	3.2790474891662598
,	1	17	1	3	1	1	1.7393308877944946	5.723627090454102	-0.9870800971984863
pattern	1	18	1	3	1	7	14.67092514038086	9.60803508758545	-3.8844079971313477
,	1	19	1	3	1	1	0.7902024388313293	3.6092076301574707	5.9988274574279785
leader	1	20	1	3	1	6	13.699331283569336	8.384811401367188	-4.775603771209717
.	1	21	1	3	1	1	10.740283966064453	2.5287082195281982	5.856103181838989
and	1	22	2	3	1	3	20.89777374267578	0.3890654146671295	2.1396428048610687
the	1	23	2	3	1	3	4.131822109222412	5.917947769165039	-5.5288823544979095
other	1	24	2	3	1	5	5.1754279136657715	9.037423133850098	-3.1194753646850586
:	1	25	2	3	1	1	7.69757080078125	8.694596290588379	0.34282684326171875
vessel	1	26	3	3	1	6	21.11612892150879	6.345689296722412	2.348906993865967
,	1	27	3	3	1	1	3.086256504058838	6.706406116485596	-0.3607168197631836
robber	1	28	3	3	1	6	17.306392669677734	9.184808731079102	-2.478402614593506
