word	sentid	corpuspos	markers	list_len	dist_len	wlen	surp	hs	dHs
in	0	0	0	2	0	2	5.094230651855469	7.3336076736450195	0.0
the	0	1	0	2	0	3	2.0670247077941895	4.259023189544678	3.074584484100342
newspaper	0	2	0	2	0	9	12.38499641418457	7.928836822509766	-3.669813632965088
,	0	3	0	2	0	1	2.1938140392303467	5.577699661254883	2.351137161254883
somebody	0	4	0	2	0	8	18.579099655151367	5.506710052490234	0.07098960876464844
wrote	0	5	0	2	0	5	7.278550148010254	7.391408443450928	-1.8846983909606934
the	0	6	0	2	0	3	3.3690693378448486	5.132508277893066	2.2589001655578613
following	0	7	0	2	0	9	8.502403259277344	8.24102783203125	-3.1085195541381836
words	0	8	0	2	0	5	7.571703910827637	7.431082248687744	0.8099455833435059
:	0	9	0	2	0	1	2.1100521087646484	4.197509288787842	3.2335729598999023
patience	0	10	1	2	0	8	19.296344757080078	2.4914677143096924	1.7060415744781494
,	0	11	1	2	0	1	2.3072187900543213	5.801980018615723	-3.3105123043060303
notion	0	12	1	2	0	6	17.935148239135742	9.015423774719238	-3.2134437561035156
,	0	13	1	2	0	1	0.9973735213279724	2.660994291305542	6.354429483413696
patience	0	14	1	2	0	8	11.998138427734375	7.431060314178467	-4.770066022872925
,	0	15	1	2	0	1	0.4540596604347229	1.605910301208496	5.825150012969971
notion	0	16	1	2	0	6	16.646387100219727	7.286673069000244	-5.680762767791748
,	0	17	1	2	0	1	1.452955722808838	3.0620388984680176	4.224634170532227
patience	0	18	1	2	0	8	11.527329444885254	7.806044101715088	-4.74400520324707
,	0	19	1	2	0	1	0.48281434178352356	1.7065943479537964	6.0994497537612915
notion	0	20	1	2	0	6	16.02732276916504	7.644198894500732	-5.937604546546936
,	0	21	1	2	0	1	1.4465053081512451	3.212742567062378	4.4314563274383545
patience	0	22	1	2	0	8	11.333612442016602	8.146012306213379	-4.933269739151001
,	0	23	1	2	0	1	0.4691925346851349	1.7053050994873047	6.440707206726074
notion	0	24	1	2	0	6	15.646001815795898	7.80258321762085	-6.097278118133545
,	0	25	1	2	0	1	1.4396339654922485	3.3267273902893066	4.475855827331543
patience	0	26	1	2	0	8	11.244124412536621	8.266972541809082	-4.940245151519775
,	0	27	1	2	0	1	0.4547455906867981	1.6991760730743408	6.567796468734741
notion	0	28	1	2	0	6	15.408034324645996	7.8735880851745605	-6.17441201210022
.	0	29	1	2	0	1	5.060140132904053	3.4191250801086426	4.454463005065918
in	1	0	0	2	0	2	5.094230651855469	7.3336076736450195	0.0
the	1	1	0	2	0	3	2.0670247077941895	4.259023189544678	3.074584484100342
newspaper	1	2	0	2	0	9	12.38499641418457	7.928836822509766	-3.669813632965088
,	1	3	0	2	0	1	2.1938140392303467	5.577699661254883	2.351137161254883
somebody	1	4	0	2	0	8	18.579099655151367	5.506710052490234	0.07098960876464844
wrote	1	5	0	2	0	5	7.278550148010254	7.391408443450928	-1.8846983909606934
the	1	6	0	2	0	3	3.3690693378448486	5.132508277893066	2.2589001655578613
following	1	7	0	2	0	9	8.502403259277344	8.24102783203125	-3.1085195541381836
words	1	8	0	2	0	5	7.571703910827637	7.431082248687744	0.8099455833435059
:	1	9	0	2	0	1	2.1100521087646484	4.197509288787842	3.2335729598999023
pleasure	1	10	1	2	0	8	19.144289016723633	2.4914677143096924	1.7060415744781494
,	1	11	1	2	0	1	2.5404791831970215	6.66470193862915	-4.173234224319458
pattern	1	12	1	2	0	7	14.125906944274902	9.355371475219727	-2.690669536590576
,	1	13	1	2	0	1	0.9682601094245911	4.11306095123291	5.242310523986816
pleasure	1	14	1	2	0	8	11.957893371582031	8.19917106628418	-4.0861101150512695
,	1	15	1	2	0	1	0.5851259827613831	2.9406564235687256	5.258514642715454
pattern	1	16	1	2	0	7	14.359474182128906	8.409028053283691	-5.468371629714966
,	1	17	1	2	0	1	1.128535270690918	4.260354995727539	4.148673057556152
pleasure	1	18	1	2	0	8	11.350099563598633	8.372901916503906	-4.112546920776367
,	1	19	1	2	0	1	0.6004704833030701	3.0682756900787354	5.304626226425171
pattern	1	20	1	2	0	7	14.324165344238281	8.702569961547852	-5.634294271469116
,	1	21	1	2	0	1	1.204379916191101	4.444781303405762	4.25778865814209
pleasure	1	22	1	2	0	8	10.932149887084961	8.687186241149902	-4.242404937744141
,	1	23	1	2	0	1	0.5852906107902527	3.0456717014312744	5.641514539718628
pattern	1	24	1	2	0	7	14.300856590270996	8.902800559997559	-5.857128858566284
,	1	25	1	2	0	1	1.218126893043518	4.496552467346191	4.406248092651367
pleasure	1	26	1	2	0	8	10.613450050354004	8.884126663208008	-4.387574195861816
,	1	27	1	2	0	1	0.5595868229866028	2.96748423576355	5.916642427444458
pattern	1	28	1	2	0	7	14.301840782165527	9.044271469116211	-6.076787233352661
.	1	29	1	2	0	1	5.973921298980713	4.517378330230713	4.526893138885498
in	2	0	0	2	0	2	5.094230651855469	7.3336076736450195	0.0
the	2	1	0	2	0	3	2.0670247077941895	4.259023189544678	3.074584484100342
newspaper	2	2	0	2	0	9	12.38499641418457	7.928836822509766	-3.669813632965088
,	2	3	0	2	0	1	2.1938140392303467	5.577699661254883	2.351137161254883
somebody	2	4	0	2	0	8	18.579099655151367	5.506710052490234	0.07098960876464844
wrote	2	5	0	2	0	5	7.278550148010254	7.391408443450928	-1.8846983909606934
the	2	6	0	2	0	3	3.3690693378448486	5.132508277893066	2.2589001655578613
following	2	7	0	2	0	9	8.502403259277344	8.24102783203125	-3.1085195541381836
words	2	8	0	2	0	5	7.571703910827637	7.431082248687744	0.8099455833435059
:	2	9	0	2	0	1	2.1100521087646484	4.197509288787842	3.2335729598999023
paper	2	10	1	2	0	5	17.400575637817383	2.4914677143096924	1.7060415744781494
,	2	11	1	2	0	1	2.8163034915924072	7.147071838378906	-4.655604124069214
belief	2	12	1	2	0	6	15.482587814331055	8.730337142944336	-1.5832653045654297
,	2	13	1	2	0	1	0.8978196382522583	3.2653896808624268	5.464947462081909
paper	2	14	1	2	0	5	10.831135749816895	7.117700576782227	-3.8523108959198
,	2	15	1	2	0	1	0.40600720047950745	1.8096227645874023	5.308077812194824
belief	2	16	1	2	0	6	13.824629783630371	6.378637790679932	-4.569015026092529
,	2	17	1	2	0	1	1.073180913925171	3.0428686141967773	3.3357691764831543
paper	2	18	1	2	0	5	11.33222770690918	5.853483200073242	-2.810614585876465
,	2	19	1	2	0	1	0.3801948130130768	1.8302984237670898	4.023184776306152
belief	2	20	1	2	0	6	13.046310424804688	6.711704730987549	-4.881406307220459
,	2	21	1	2	0	1	0.9640098810195923	2.92714262008667	3.784562110900879
paper	2	22	1	2	0	5	11.483627319335938	5.994216442108154	-3.0670738220214844
,	2	23	1	2	0	1	0.3867558240890503	1.918656587600708	4.075559854507446
belief	2	24	1	2	0	6	12.627208709716797	7.0083231925964355	-5.0896666049957275
,	2	25	1	2	0	1	0.9597944021224976	2.981860399246216	4.02646279335022
paper	2	26	1	2	0	5	11.587960243225098	6.109890937805176	-3.12803053855896
,	2	27	1	2	0	1	0.39531657099723816	1.993834376335144	4.116056561470032
