word	sentid	corpuspos	markers	list_len	prompt_len	wlen	surp	hs	dHs
before	0	0	0	3	1	6	10.510743141174316	7.3336076736450195	0.0
the	0	1	0	3	1	3	1.3516240119934082	5.0294013023376465	2.304206371307373
meeting	0	2	0	3	1	7	9.76176929473877	8.512018203735352	-3.482616901397705
,	0	3	0	3	1	1	1.3793230056762695	4.450833797454834	4.061184406280518
<unk>	0	4	0	3	1	5	1.5797295570373535	4.693855285644531	-0.24302148818969727
wrote	0	5	0	3	1	5	6.7452545166015625	7.437475681304932	-2.7436203956604004
down	0	6	0	3	1	4	12.359661102294922	5.054750919342041	2.3827247619628906
the	0	7	0	3	1	3	2.0881338119506836	5.478602886199951	-0.42385196685791016
following	0	8	0	3	1	9	8.708403587341309	9.597563743591309	-4.118960857391357
lists	0	9	0	3	1	5	9.607193946838379	8.287297248840332	1.3102664947509766
of	0	10	0	3	1	2	2.7516086101531982	4.2685065269470215	4.0187907218933105
words	0	11	0	3	1	5	8.586953163146973	7.098214626312256	-2.8297080993652344
.	0	12	0	3	1	1	2.9857442378997803	5.5401482582092285	1.5580663681030273
one	0	13	0	3	1	3	25.875417709350586	0.16667278110980988	5.373475477099419
was	0	14	0	3	1	3	5.924862384796143	6.96293306350708	-6.79626028239727
:	0	15	0	3	1	1	11.934603691101074	7.956364154815674	-0.9934310913085938
window	0	16	1	3	1	6	17.57936668395996	4.645127296447754	3.31123685836792
,	0	17	1	3	1	1	3.3998401165008545	7.289832592010498	-2.644705295562744
door	0	18	1	3	1	4	15.010397911071777	8.894021987915039	-1.604189395904541
,	0	19	1	3	1	1	0.8921130895614624	3.5166170597076416	5.3774049282073975
roof	0	20	1	3	1	4	12.870380401611328	7.282415390014648	-3.765798330307007
.	0	21	1	3	1	1	7.6408491134643555	3.0553228855133057	4.227092504501343
and	0	22	2	3	1	3	20.994983673095703	0.08179888874292374	2.973523996770382
the	0	23	2	3	1	3	2.830103635787964	5.938976287841797	-5.857177399098873
other	0	24	2	3	1	5	5.357662200927734	9.529596328735352	-3.5906200408935547
:	0	25	2	3	1	1	7.431306838989258	8.84654426574707	0.6830520629882812
cotton	0	26	3	3	1	6	16.57900619506836	6.596158027648926	2.2503862380981445
,	0	27	3	3	1	1	2.4191277027130127	6.500614166259766	0.09554386138916016
wool	0	28	3	3	1	4	10.567304611206055	8.586774826049805	-2.086160659790039
,	0	29	3	3	1	1	0.3438680171966553	1.5189605951309204	7.067814230918884
silk	0	30	3	3	1	4	8.186891555786133	7.322530269622803	-5.803569674491882
.	0	31	3	3	1	1	9.874258041381836	1.446664571762085	5.875865697860718
before	1	0	0	3	1	6	10.510743141174316	7.3336076736450195	0.0
the	1	1	0	3	1	3	1.3516240119934082	5.0294013023376465	2.304206371307373
meeting	1	2	0	3	1	7	9.76176929473877	8.512018203735352	-3.482616901397705
,	1	3	0	3	1	1	1.3793230056762695	4.450833797454834	4.061184406280518
<unk>	1	4	0	3	1	5	1.5797295570373535	4.693855285644531	-0.24302148818969727
wrote	1	5	0	3	1	5	6.7452545166015625	7.437475681304932	-2.7436203956604004
down	1	6	0	3	1	4	12.359661102294922	5.054750919342041	2.3827247619628906
the	1	7	0	3	1	3	2.0881338119506836	5.478602886199951	-0.42385196685791016
following	1	8	0	3	1	9	8.708403587341309	9.597563743591309	-4.118960857391357
lists	1	9	0	3	1	5	9.607193946838379	8.287297248840332	1.3102664947509766
of	1	10	0	3	1	2	2.7516086101531982	4.2685065269470215	4.0187907218933105
words	1	11	0	3	1	5	8.586953163146973	7.098214626312256	-2.8297080993652344
.	1	12	0	3	1	1	2.9857442378997803	5.5401482582092285	1.5580663681030273
one	1	13	0	3	1	3	25.875417709350586	0.16667278110980988	5.373475477099419
was	1	14	0	3	1	3	5.924862384796143	6.96293306350708	-6.79626028239727
:	1	15	0	3	1	1	11.934603691101074	7.956364154815674	-0.9934310913085938
leg	1	16	1	3	1	3	20.898218154907227	4.645127296447754	3.31123685836792
,	1	17	1	3	1	1	4.624894142150879	6.915571689605713	-2.270444393157959
arms	1	18	1	3	1	4	11.118675231933594	9.456624031066895	-2.5410523414611816
,	1	19	1	3	1	1	0.4097699224948883	1.7243574857711792	7.732266545295715
head	1	20	1	3	1	4	8.92238998413086	7.721073627471924	-5.996716141700745
.	1	21	1	3	1	1	7.8544416427612305	4.074653625488281	3.6464200019836426
and	1	22	2	3	1	3	21.308305740356445	0.06998660415410995	4.004667021334171
the	1	23	2	3	1	3	3.1474318504333496	6.29800271987915	-6.22801611572504
other	1	24	2	3	1	5	5.159216403961182	9.705387115478516	-3.4073843955993652
:	1	25	2	3	1	1	7.327260494232178	8.762295722961426	0.9430913925170898
blue	1	26	3	3	1	4	11.009659767150879	6.562426567077637	2.199869155883789
,	1	27	3	3	1	1	2.213524341583252	6.623283863067627	-0.060857295989990234
red	1	28	3	3	1	3	4.151697635650635	6.910973072052002	-0.287689208984375
,	1	29	3	3	1	1	0.6016204953193665	2.7917771339416504	4.119195938110352
green	1	30	3	3	1	5	4.095096111297607	5.413164138793945	-2.621387004852295
.	1	31	3	3	1	1	8.547802925109863	1.5459052324295044	3.867258906364441
before	2	0	0	3	1	6	10.510743141174316	7.3336076736450195	0.0
the	2	1	0	3	1	3	1.3516240119934082	5.0294013023376465	2.304206371307373
meeting	2	2	0	3	1	7	9.76176929473877	8.512018203735352	-3.482616901397705
,	2	3	0	3	1	1	1.3793230056762695	4.450833797454834	4.061184406280518
<unk>	2	4	0	3	1	5	1.5797295570373535	4.693855285644531	-0.24302148818969727
wrote	2	5	0	3	1	5	6.7452545166015625	7.437475681304932	-2.7436203956604004
down	2	6	0	3	1	4	12.359661102294922	5.054750919342041	2.3827247619628906
the	2	7	0	3	1	3	2.0881338119506836	5.478602886199951	-0.42385196685791016
following	2	8	0	3	1	9	8.708403587341309	9.597563743591309	-4.118960857391357
lists	2	9	0	3	1	5	9.607193946838379	8.287297248840332	1.3102664947509766
of	2	10	0	3	1	2	2.7516086101531982	4.2685065269470215	4.0187907218933105
words	2	11	0	3	1	5	8.586953163146973	7.098214626312256	-2.8297080993652344
.	2	12	0	3	1	1	2.9857442378997803	5.5401482582092285	1.5580663681030273
one	2	13	0	3	1	3	25.875417709350586	0.16667278110980988	5.373475477099419
was	2	14	0	3	1	3	5.924862384796143	6.96293306350708	-6.79626028239727
:	2	15	0	3	1	1	11.934603691101074	7.956364154815674	-0.9934310913085938
sailboat	2	16	1	3	1	8	23.53232765197754	4.645127296447754	3.31123685836792
,	2	17	1	3	1	1	3.4425086975097656	8.180167198181152	-3.5350399017333984
destroyer	2	18	1	3	1	9	13.987963676452637	8.864978790283203	-0.6848115921020508
,	2	19	1	3	1	1	0.622124433517456	3.0699684619903564	5.795010328292847
battleship	2	20	1	3	1	10	14.78571891784668	6.949840068817139	-3.8798716068267822
.	2	21	1	3	1	1	7.972149848937988	3.8613393306732178	3.088500738143921
and	2	22	2	3	1	3	21.485647201538086	0.05614270269870758	3.80519662797451
the	2	23	2	3	1	3	2.7305593490600586	5.9580397605896	-5.901897057890892
other	2	24	2	3	1	5	5.124322414398193	8.908201217651367	-2.9501614570617676
:	2	25	2	3	1	1	8.22468090057373	8.509729385375977	0.3984718322753906
fly	2	26	3	3	1	3	13.362621307373047	6.2106828689575195	2.299046516418457
,	2	27	3	3	1	1	3.2970781326293945	6.828784942626953	-0.6181020736694336
ant	2	28	3	3	1	3	18.849897384643555	6.738821029663086	0.08996391296386719
,	2	29	3	3	1	1	1.4975560903549194	3.4895753860473633	3.2492456436157227
bee	2	30	3	3	1	3	14.922200202941895	6.502147197723389	-3.0125718116760254
.	2	31	3	3	1	1	6.1988525390625	4.073780059814453	2.4283671379089355
before	3	0	0	3	1	6	10.510743141174316	7.3336076736450195	0.0
the	3	1	0	3	1	3	1.3516240119934082	5.0294013023376465	2.304206371307373
meeting	3	2	0	3	1	7	9.76176929473877	8.512018203735352	-3.482616901397705
,	3	3	0	3	1	1	1.3793230056762695	4.450833797454834	4.061184406280518
<unk>	3	4	0	3	1	5	1.5797295570373535	4.693855285644531	-0.24302148818969727
wrote	3	5	0	3	1	5	6.7452545166015625	7.437475681304932	-2.7436203956604004
down	3	6	0	3	1	4	12.359661102294922	5.054750919342041	2.3827247619628906
the	3	7	0	3	1	3	2.0881338119506836	5.478602886199951	-0.42385196685791016
following	3	8	0	3	1	9	8.708403587341309	9.597563743591309	-4.118960857391357
lists	3	9	0	3	1	5	9.607193946838379	8.287297248840332	1.3102664947509766
of	3	10	0	3	1	2	2.7516086101531982	4.2685065269470215	4.0187907218933105
words	3	11	0	3	1	5	8.586953163146973	7.098214626312256	-2.8297080993652344
.	3	12	0	3	1	1	2.9857442378997803	5.5401482582092285	1.5580663681030273
one	3	13	0	3	1	3	25.875417709350586	0.16667278110980988	5.373475477099419
was	3	14	0	3	1	3	5.924862384796143	6.96293306350708	-6.79626028239727
:	3	15	0	3	1	1	11.934603691101074	7.956364154815674	-0.9934310913085938
robin	3	16	1	3	1	5	16.70162010192871	4.645127296447754	3.31123685836792
,	3	17	1	3	1	1	4.189754486083984	4.437272071838379	0.207855224609375
sparrow	3	18	1	3	1	7	14.978145599365234	5.895869255065918	-1.458597183227539
,	3	19	1	3	1	1	0.5655801296234131	2.5269711017608643	3.3688981533050537
heron	3	20	1	3	1	5	17.86878776550293	3.9422271251678467	-1.4152560234069824
.	3	21	1	3	1	1	7.871521949768066	2.5066897869110107	1.435537338256836
and	3	22	2	3	1	3	20.29205322265625	0.11767400801181793	2.389015778899193
the	3	23	2	3	1	3	3.7071361541748047	5.4376630783081055	-5.3199890702962875
other	3	24	2	3	1	5	4.50255012512207	8.710087776184082	-3.2724246978759766
:	3	25	2	3	1	1	8.299348831176758	8.262310981750488	0.44777679443359375
log	3	26	3	3	1	3	19.594345092773438	5.866095066070557	2.3962159156799316
,	3	27	3	3	1	1	3.252835273742676	7.586514472961426	-1.7204194068908691
cat	3	28	3	3	1	3	11.4088773727417	6.210416793823242	1.3760976791381836
,	3	29	3	3	1	1	1.670440435409546	5.096904277801514	1.1135125160217285
horse	3	30	3	3	1	5	10.845714569091797	5.979680061340332	-0.8827757835388184
.	3	31	3	3	1	1	6.279133319854736	4.282135963439941	1.6975440979003906
before	4	0	0	3	1	6	10.510743141174316	7.3336076736450195	0.0
the	4	1	0	3	1	3	1.3516240119934082	5.0294013023376465	2.304206371307373
meeting	4	2	0	3	1	7	9.76176929473877	8.512018203735352	-3.482616901397705
,	4	3	0	3	1	1	1.3793230056762695	4.450833797454834	4.061184406280518
<unk>	4	4	0	3	1	5	1.5797295570373535	4.693855285644531	-0.24302148818969727
wrote	4	5	0	3	1	5	6.7452545166015625	7.437475681304932	-2.7436203956604004
down	4	6	0	3	1	4	12.359661102294922	5.054750919342041	2.3827247619628906
the	4	7	0	3	1	3	2.0881338119506836	5.478602886199951	-0.42385196685791016
following	4	8	0	3	1	9	8.708403587341309	9.597563743591309	-4.118960857391357
lists	4	9	0	3	1	5	9.607193946838379	8.287297248840332	1.3102664947509766
of	4	10	0	3	1	2	2.7516086101531982	4.2685065269470215	4.0187907218933105
words	4	11	0	3	1	5	8.586953163146973	7.098214626312256	-2.8297080993652344
.	4	12	0	3	1	1	2.9857442378997803	5.5401482582092285	1.5580663681030273
one	4	13	0	3	1	3	25.875417709350586	0.16667278110980988	5.373475477099419
was	4	14	0	3	1	3	5.924862384796143	6.96293306350708	-6.79626028239727
:	4	15	0	3	1	1	11.934603691101074	7.956364154815674	-0.9934310913085938
apple	4	16	1	3	1	5	15.536828994750977	4.645127296447754	3.31123685836792
,	4	17	1	3	1	1	3.258531332015991	7.003266334533691	-2.3581390380859375
pear	4	18	1	3	1	4	18.740861892700195	6.498656272888184	0.5046100616455078
,	4	19	1	3	1	1	1.4517415761947632	4.008297920227051	2.490358352661133
banana	4	20	1	3	1	6	15.859177589416504	5.861807823181152	-1.8535099029541016
.	4	21	1	3	1	1	8.194366455078125	3.2042744159698486	2.6575334072113037
and	4	22	2	3	1	3	20.567489624023438	0.1457512080669403	3.0585232079029083
the	4	23	2	3	1	3	3.274325132369995	6.031193733215332	-5.885442525148392
other	4	24	2	3	1	5	4.768195629119873	9.126047134399414	-3.094853401184082
:	4	25	2	3	1	1	7.882490634918213	8.61734676361084	0.5087003707885742
murder	4	26	3	3	1	6	15.874507904052734	6.271604537963867	2.3457422256469727
,	4	27	3	3	1	1	2.56376314163208	5.750571250915527	0.5210332870483398
rape	4	28	3	3	1	4	11.946699142456055	8.450369834899902	-2.699798583984375
,	4	29	3	3	1	1	0.5841184854507446	2.4655182361602783	5.984851598739624
robbery	4	30	3	3	1	7	7.453618049621582	8.238912582397461	-5.773394346237183
.	4	31	3	3	1	1	5.003105640411377	1.7257567644119263	6.513155817985535
before	5	0	0	3	1	6	10.510743141174316	7.3336076736450195	0.0
the	5	1	0	3	1	3	1.3516240119934082	5.0294013023376465	2.304206371307373
meeting	5	2	0	3	1	7	9.76176929473877	8.512018203735352	-3.482616901397705
,	5	3	0	3	1	1	1.3793230056762695	4.450833797454834	4.061184406280518
<unk>	5	4	0	3	1	5	1.5797295570373535	4.693855285644531	-0.24302148818969727
wrote	5	5	0	3	1	5	6.7452545166015625	7.437475681304932	-2.7436203956604004
down	5	6	0	3	1	4	12.359661102294922	5.054750919342041	2.3827247619628906
the	5	7	0	3	1	3	2.0881338119506836	5.478602886199951	-0.42385196685791016
following	5	8	0	3	1	9	8.708403587341309	9.597563743591309	-4.118960857391357
lists	5	9	0	3	1	5	9.607193946838379	8.287297248840332	1.3102664947509766
of	5	10	0	3	1	2	2.7516086101531982	4.2685065269470215	4.0187907218933105
words	5	11	0	3	1	5	8.586953163146973	7.098214626312256	-2.8297080993652344
.	5	12	0	3	1	1	2.9857442378997803	5.5401482582092285	1.5580663681030273
one	5	13	0	3	1	3	25.875417709350586	0.16667278110980988	5.373475477099419
was	5	14	0	3	1	3	5.924862384796143	6.96293306350708	-6.79626028239727
:	5	15	0	3	1	1	11.934603691101074	7.956364154815674	-0.9934310913085938
hammer	5	16	1	3	1	6	16.908321380615234	4.645127296447754	3.31123685836792
,	5	17	1	3	1	1	2.706775188446045	6.687806606292725	-2.0426793098449707
saw	5	18	1	3	1	3	13.849413871765137	6.856112957000732	-0.1683063507080078
,	5	19	1	3	1	1	4.127825736999512	5.187122821807861	1.668990135192871
nails	5	20	1	3	1	5	16.07996368408203	6.229959487915039	-1.0428366661071777
.	5	21	1	3	1	1	7.63503885269165	2.4005544185638428	3.8294050693511963
and	5	22	2	3	1	3	21.148908615112305	0.15576569736003876	2.244788721203804
the	5	23	2	3	1	3	3.1069774627685547	5.798774719238281	-5.6430090218782425
other	5	24	2	3	1	5	5.150516033172607	9.462867736816406	-3.664093017578125
:	5	25	2	3	1	1	7.8840203285217285	8.951842308044434	0.5110254287719727
mountain	5	26	3	3	1	8	16.052711486816406	6.582036972045898	2.369805335998535
,	5	27	3	3	1	1	3.4029645919799805	9.076127052307129	-2.4940900802612305
