word	sentid	corpuspos	markers	list_len	prompt_len	wlen	surp	hs	dHs
before	0	0	0	3	1	6	10.510743141174316	7.3336076736450195	0.0
the	0	1	0	3	1	3	1.3516240119934082	5.0294013023376465	2.304206371307373
meeting	0	2	0	3	1	7	9.76176929473877	8.512018203735352	-3.482616901397705
,	0	3	0	3	1	1	1.3793230056762695	4.450833797454834	4.061184406280518
<unk>	0	4	0	3	1	5	1.5797295570373535	4.693855285644531	-0.24302148818969727
wrote	0	5	0	3	1	5	6.7452545166015625	7.437475681304932	-2.7436203956604004
down	0	6	0	3	1	4	12.359661102294922	5.054750919342041	2.3827247619628906
the	0	7	0	3	1	3	2.0881338119506836	5.478602886199951	-0.42385196685791016
following	0	8	0	3	1	9	8.708403587341309	9.597563743591309	-4.118960857391357
lists	0	9	0	3	1	5	9.607193946838379	8.287297248840332	1.3102664947509766
of	0	10	0	3	1	2	2.7516086101531982	4.2685065269470215	4.0187907218933105
words	0	11	0	3	1	5	8.586953163146973	7.098214626312256	-2.8297080993652344
.	0	12	0	3	1	1	2.9857442378997803	5.5401482582092285	1.5580663681030273
one	0	13	0	3	1	3	25.875417709350586	0.16667278110980988	5.373475477099419
was	0	14	0	3	1	3	5.924862384796143	6.96293306350708	-6.79626028239727
:	0	15	0	3	1	1	11.934603691101074	7.956364154815674	-0.9934310913085938
patience	0	16	1	3	1	8	18.443614959716797	4.645127296447754	3.31123685836792
,	0	17	1	3	1	1	2.03467059135437	5.760120391845703	-1.1149930953979492
notion	0	18	1	3	1	6	18.748201370239258	8.477035522460938	-2.7169151306152344
,	0	19	1	3	1	1	0.8732590675354004	2.6483280658721924	5.828707456588745
movie	0	20	1	3	1	5	13.764935493469238	6.998259544372559	-4.349931478500366
.	0	21	1	3	1	1	7.271170139312744	4.627316474914551	2.370943069458008
and	0	22	2	3	1	3	19.461891174316406	0.21849553287029266	4.408820942044258
the	0	23	2	3	1	3	3.141552686691284	6.84368896484375	-6.625193431973457
other	0	24	2	3	1	5	5.40001916885376	9.951583862304688	-3.1078948974609375
:	0	25	2	3	1	1	6.474559307098389	9.141436576843262	0.8101472854614258
movie	0	26	3	3	1	5	14.57999038696289	6.646665096282959	2.4947714805603027
,	0	27	3	3	1	1	3.3705379962921143	8.30794620513916	-1.6612811088562012
patience	0	28	3	3	1	8	13.264888763427734	8.085329055786133	0.22261714935302734
,	0	29	3	3	1	1	0.5339368581771851	2.196836233139038	5.888492822647095
notion	0	30	3	3	1	6	17.799129486083984	7.5273284912109375	-5.330492258071899
.	0	31	3	3	1	1	4.983667850494385	3.1203131675720215	4.407015323638916
before	1	0	0	3	1	6	10.510743141174316	7.3336076736450195	0.0
the	1	1	0	3	1	3	1.3516240119934082	5.0294013023376465	2.304206371307373
meeting	1	2	0	3	1	7	9.76176929473877	8.512018203735352	-3.482616901397705
,	1	3	0	3	1	1	1.3793230056762695	4.450833797454834	4.061184406280518
<unk>	1	4	0	3	1	5	1.5797295570373535	4.693855285644531	-0.24302148818969727
wrote	1	5	0	3	1	5	6.7452545166015625	7.437475681304932	-2.7436203956604004
down	1	6	0	3	1	4	12.359661102294922	5.054750919342041	2.3827247619628906
the	1	7	0	3	1	3	2.0881338119506836	5.478602886199951	-0.42385196685791016
following	1	8	0	3	1	9	8.708403587341309	9.597563743591309	-4.118960857391357
lists	1	9	0	3	1	5	9.607193946838379	8.287297248840332	1.3102664947509766
of	1	10	0	3	1	2	2.7516086101531982	4.2685065269470215	4.0187907218933105
words	1	11	0	3	1	5	8.586953163146973	7.098214626312256	-2.8297080993652344
.	1	12	0	3	1	1	2.9857442378997803	5.5401482582092285	1.5580663681030273
one	1	13	0	3	1	3	25.875417709350586	0.16667278110980988	5.373475477099419
was	1	14	0	3	1	3	5.924862384796143	6.96293306350708	-6.79626028239727
:	1	15	0	3	1	1	11.934603691101074	7.956364154815674	-0.9934310913085938
pleasure	1	16	1	3	1	8	19.241851806640625	4.645127296447754	3.31123685836792
,	1	17	1	3	1	1	2.654106616973877	6.999131202697754	-2.35400390625
pattern	1	18	1	3	1	7	14.225934028625488	9.275751113891602	-2.2766199111938477
,	1	19	1	3	1	1	0.9191218018531799	4.092909336090088	5.182841777801514
leader	1	20	1	3	1	6	14.399909019470215	8.154587745666504	-4.061678409576416
.	1	21	1	3	1	1	6.669445991516113	3.516038179397583	4.638549566268921
and	1	22	2	3	1	3	20.012706756591797	0.24977520108222961	3.2662629783153534
the	1	23	2	3	1	3	3.258023262023926	7.060394287109375	-6.810619086027145
other	1	24	2	3	1	5	5.194620609283447	9.736679077148438	-2.6762847900390625
:	1	25	2	3	1	1	6.530145645141602	8.748970985412598	0.9877080917358398
leader	1	26	3	3	1	6	14.416131019592285	6.939345836639404	1.8096251487731934
,	1	27	3	3	1	1	3.057523727416992	5.124841213226318	1.814504623413086
pleasure	1	28	3	3	1	8	14.830918312072754	7.888736724853516	-2.7638955116271973
,	1	29	3	3	1	1	0.5824621319770813	2.9499027729034424	4.938833951950073
pattern	1	30	3	3	1	7	16.2982177734375	7.702569961547852	-4.752667188644409
.	1	31	3	3	1	1	5.377142429351807	4.149771213531494	3.5527987480163574
before	2	0	0	3	1	6	10.510743141174316	7.3336076736450195	0.0
the	2	1	0	3	1	3	1.3516240119934082	5.0294013023376465	2.304206371307373
meeting	2	2	0	3	1	7	9.76176929473877	8.512018203735352	-3.482616901397705
,	2	3	0	3	1	1	1.3793230056762695	4.450833797454834	4.061184406280518
<unk>	2	4	0	3	1	5	1.5797295570373535	4.693855285644531	-0.24302148818969727
wrote	2	5	0	3	1	5	6.7452545166015625	7.437475681304932	-2.7436203956604004
down	2	6	0	3	1	4	12.359661102294922	5.054750919342041	2.3827247619628906
the	2	7	0	3	1	3	2.0881338119506836	5.478602886199951	-0.42385196685791016
following	2	8	0	3	1	9	8.708403587341309	9.597563743591309	-4.118960857391357
lists	2	9	0	3	1	5	9.607193946838379	8.287297248840332	1.3102664947509766
of	2	10	0	3	1	2	2.7516086101531982	4.2685065269470215	4.0187907218933105
words	2	11	0	3	1	5	8.586953163146973	7.098214626312256	-2.8297080993652344
.	2	12	0	3	1	1	2.9857442378997803	5.5401482582092285	1.5580663681030273
one	2	13	0	3	1	3	25.875417709350586	0.16667278110980988	5.373475477099419
was	2	14	0	3	1	3	5.924862384796143	6.96293306350708	-6.79626028239727
:	2	15	0	3	1	1	11.934603691101074	7.956364154815674	-0.9934310913085938
paper	2	16	1	3	1	5	15.487860679626465	4.645127296447754	3.31123685836792
,	2	17	1	3	1	1	2.5535459518432617	6.907692909240723	-2.2625656127929688
belief	2	18	1	3	1	6	16.786561965942383	8.539114952087402	-1.6314220428466797
,	2	19	1	3	1	1	0.8903789520263672	3.1772968769073486	5.361818075180054
factor	2	20	1	3	1	6	18.45828628540039	6.669971942901611	-3.4926750659942627
.	2	21	1	3	1	1	6.695976734161377	2.682705879211426	3.9872660636901855
and	2	22	2	3	1	3	18.6951961517334	0.23117253184318542	2.4515333473682404
the	2	23	2	3	1	3	2.7016587257385254	6.299362659454346	-6.06819012761116
other	2	24	2	3	1	5	5.615346908569336	9.654067993164062	-3.354705333709717
:	2	25	2	3	1	1	7.074002265930176	9.253911018371582	0.40015697479248047
factor	2	26	3	3	1	6	17.55548858642578	6.748538017272949	2.505373001098633
,	2	27	3	3	1	1	4.420622825622559	4.08600378036499	2.662534236907959
paper	2	28	3	3	1	5	12.334266662597656	7.067043781280518	-2.9810400009155273
,	2	29	3	3	1	1	0.7400307655334473	3.0326883792877197	4.034355401992798
belief	2	30	3	3	1	6	13.735654830932617	7.334105968475342	-4.301417589187622
.	2	31	3	3	1	1	4.669200420379639	2.7792627811431885	4.554843187332153
before	3	0	0	3	1	6	10.510743141174316	7.3336076736450195	0.0
the	3	1	0	3	1	3	1.3516240119934082	5.0294013023376465	2.304206371307373
meeting	3	2	0	3	1	7	9.76176929473877	8.512018203735352	-3.482616901397705
,	3	3	0	3	1	1	1.3793230056762695	4.450833797454834	4.061184406280518
<unk>	3	4	0	3	1	5	1.5797295570373535	4.693855285644531	-0.24302148818969727
wrote	3	5	0	3	1	5	6.7452545166015625	7.437475681304932	-2.7436203956604004
down	3	6	0	3	1	4	12.359661102294922	5.054750919342041	2.3827247619628906
the	3	7	0	3	1	3	2.0881338119506836	5.478602886199951	-0.42385196685791016
following	3	8	0	3	1	9	8.708403587341309	9.597563743591309	-4.118960857391357
lists	3	9	0	3	1	5	9.607193946838379	8.287297248840332	1.3102664947509766
of	3	10	0	3	1	2	2.7516086101531982	4.2685065269470215	4.0187907218933105
words	3	11	0	3	1	5	8.586953163146973	7.098214626312256	-2.8297080993652344
.	3	12	0	3	1	1	2.9857442378997803	5.5401482582092285	1.5580663681030273
one	3	13	0	3	1	3	25.875417709350586	0.16667278110980988	5.373475477099419
was	3	14	0	3	1	3	5.924862384796143	6.96293306350708	-6.79626028239727
:	3	15	0	3	1	1	11.934603691101074	7.956364154815674	-0.9934310913085938
cabin	3	16	1	3	1	5	18.851585388183594	4.645127296447754	3.31123685836792
,	3	17	1	3	1	1	3.9994571208953857	7.7477288246154785	-3.1026015281677246
doorway	3	18	1	3	1	7	20.433277130126953	8.430551528930664	-0.6828227043151855
,	3	19	1	3	1	1	0.39293092489242554	1.7794439792633057	6.651107549667358
candle	3	20	1	3	1	6	14.37159252166748	6.760039329528809	-4.980595350265503
.	3	21	1	3	1	1	6.635371208190918	5.1884660720825195	1.571573257446289
and	3	22	2	3	1	3	20.980361938476562	0.06993646919727325	5.118529602885246
the	3	23	2	3	1	3	2.778733253479004	6.099582195281982	-6.029645726084709
other	3	24	2	3	1	5	5.271460056304932	9.755253791809082	-3.6556715965270996
:	3	25	2	3	1	1	7.571455001831055	8.913583755493164	0.841670036315918
cabin	3	26	3	3	1	5	16.179828643798828	6.559456825256348	2.3541269302368164
,	3	27	3	3	1	1	3.2680611610412598	7.0295000076293945	-0.4700431823730469
doorway	3	28	3	3	1	7	18.270477294921875	8.294134140014648	-1.264634132385254
,	3	29	3	3	1	1	0.5407305359840393	2.5695040225982666	5.724630117416382
candle	3	30	3	3	1	6	14.394591331481934	7.062434673309326	-4.49293065071106
.	3	31	3	3	1	1	5.3416361808776855	5.104443550109863	1.957991123199463
before	4	0	0	3	1	6	10.510743141174316	7.3336076736450195	0.0
the	4	1	0	3	1	3	1.3516240119934082	5.0294013023376465	2.304206371307373
meeting	4	2	0	3	1	7	9.76176929473877	8.512018203735352	-3.482616901397705
,	4	3	0	3	1	1	1.3793230056762695	4.450833797454834	4.061184406280518
<unk>	4	4	0	3	1	5	1.5797295570373535	4.693855285644531	-0.24302148818969727
wrote	4	5	0	3	1	5	6.7452545166015625	7.437475681304932	-2.7436203956604004
down	4	6	0	3	1	4	12.359661102294922	5.054750919342041	2.3827247619628906
the	4	7	0	3	1	3	2.0881338119506836	5.478602886199951	-0.42385196685791016
following	4	8	0	3	1	9	8.708403587341309	9.597563743591309	-4.118960857391357
lists	4	9	0	3	1	5	9.607193946838379	8.287297248840332	1.3102664947509766
of	4	10	0	3	1	2	2.7516086101531982	4.2685065269470215	4.0187907218933105
words	4	11	0	3	1	5	8.586953163146973	7.098214626312256	-2.8297080993652344
.	4	12	0	3	1	1	2.9857442378997803	5.5401482582092285	1.5580663681030273
one	4	13	0	3	1	3	25.875417709350586	0.16667278110980988	5.373475477099419
was	4	14	0	3	1	3	5.924862384796143	6.96293306350708	-6.79626028239727
:	4	15	0	3	1	1	11.934603691101074	7.956364154815674	-0.9934310913085938
future	4	16	1	3	1	6	15.615220069885254	4.645127296447754	3.31123685836792
,	4	17	1	3	1	1	3.603665351867676	8.64655876159668	-4.001431465148926
legend	4	18	1	3	1	6	13.835865020751953	8.261273384094238	0.3852853775024414
,	4	19	1	3	1	1	1.1740881204605103	3.4851136207580566	4.776159763336182
problem	4	20	1	3	1	7	15.97027587890625	7.330654621124268	-3.845541000366211
.	4	21	1	3	1	1	5.464232921600342	3.8956661224365234	3.434988498687744
and	4	22	2	3	1	3	20.496910095214844	0.10878939181566238	3.786876730620861
the	4	23	2	3	1	3	2.5759189128875732	6.154758453369141	-6.045969061553478
other	4	24	2	3	1	5	5.844675540924072	9.438085556030273	-3.283327102661133
:	4	25	2	3	1	1	6.675187587738037	9.231350898742676	0.20673465728759766
problem	4	26	3	3	1	7	16.80232048034668	6.6442670822143555	2.5870838165283203
,	4	27	3	3	1	1	3.062983989715576	6.8860602378845215	-0.24179315567016602
future	4	28	3	3	1	6	12.867119789123535	8.01862621307373	-1.132565975189209
,	4	29	3	3	1	1	2.5221025943756104	8.578901290893555	-0.5602750778198242
legend	4	30	3	3	1	6	12.636253356933594	8.430680274963379	0.14822101593017578
.	4	31	3	3	1	1	5.4453582763671875	2.7838289737701416	5.646851301193237
before	5	0	0	3	1	6	10.510743141174316	7.3336076736450195	0.0
the	5	1	0	3	1	3	1.3516240119934082	5.0294013023376465	2.304206371307373
meeting	5	2	0	3	1	7	9.76176929473877	8.512018203735352	-3.482616901397705
,	5	3	0	3	1	1	1.3793230056762695	4.450833797454834	4.061184406280518
<unk>	5	4	0	3	1	5	1.5797295570373535	4.693855285644531	-0.24302148818969727
wrote	5	5	0	3	1	5	6.7452545166015625	7.437475681304932	-2.7436203956604004
down	5	6	0	3	1	4	12.359661102294922	5.054750919342041	2.3827247619628906
the	5	7	0	3	1	3	2.0881338119506836	5.478602886199951	-0.42385196685791016
following	5	8	0	3	1	9	8.708403587341309	9.597563743591309	-4.118960857391357
lists	5	9	0	3	1	5	9.607193946838379	8.287297248840332	1.3102664947509766
of	5	10	0	3	1	2	2.7516086101531982	4.2685065269470215	4.0187907218933105
words	5	11	0	3	1	5	8.586953163146973	7.098214626312256	-2.8297080993652344
.	5	12	0	3	1	1	2.9857442378997803	5.5401482582092285	1.5580663681030273
one	5	13	0	3	1	3	25.875417709350586	0.16667278110980988	5.373475477099419
was	5	14	0	3	1	3	5.924862384796143	6.96293306350708	-6.79626028239727
:	5	15	0	3	1	1	11.934603691101074	7.956364154815674	-0.9934310913085938
oven	5	16	1	3	1	4	23.814226150512695	4.645127296447754	3.31123685836792
,	5	17	1	3	1	1	3.0177760124206543	7.587929725646973	-2.9428024291992188
patient	5	18	1	3	1	7	16.452213287353516	7.985039710998535	-0.3971099853515625
,	5	19	1	3	1	1	0.9400599598884583	4.5118727684021	3.4731669425964355
daughter	5	20	1	3	1	8	14.849425315856934	6.471070289611816	-1.9591975212097168
.	5	21	1	3	1	1	8.11223030090332	2.3900299072265625	4.081040382385254
and	5	22	2	3	1	3	21.222352981567383	0.09259118139743805	2.2974387258291245
the	5	23	2	3	1	3	2.8381011486053467	6.088569641113281	-5.995978459715843
other	5	24	2	3	1	5	4.885502338409424	9.794907569885254	-3.7063379287719727
:	5	25	2	3	1	1	7.6570234298706055	8.954407691955566	0.8404998779296875
patient	5	26	3	3	1	7	16.19902992248535	6.715606689453125	2.2388010025024414
,	5	27	3	3	1	1	3.9319519996643066	9.270411491394043	-2.554804801940918
