word	sentid	corpuspos	markers	list_len	dist_len	wlen	surp	hs	dHs
in	0	0	0	2	0	2	5.5347185134887695	7.030012607574463	0.0
the	0	1	0	2	0	3	1.9602857828140259	3.8411402702331543	3.1888723373413086
newspaper	0	2	0	2	0	9	11.47335433959961	7.764246940612793	-3.9231066703796387
,	0	3	0	2	0	1	1.7755169868469238	5.869711399078369	1.8945355415344238
somebody	0	4	0	2	0	8	16.164867401123047	5.068793296813965	0.8009181022644043
wrote	0	5	0	2	0	5	8.46602725982666	7.503154277801514	-2.434360980987549
the	0	6	0	2	0	3	3.6970009803771973	5.672510147094727	1.830644130706787
following	0	7	0	2	0	9	8.149749755859375	8.363988876342773	-2.691478729248047
words	0	8	0	2	0	5	4.265489101409912	7.774806499481201	0.5891823768615723
:	0	9	0	2	0	1	2.832608938217163	4.337559223175049	3.4372472763061523
patience	0	10	1	2	0	8	20.128793716430664	2.237673282623291	2.099885940551758
,	0	11	1	2	0	1	2.0265276432037354	5.776229381561279	-3.5385560989379883
notion	0	12	1	2	0	6	18.57648468017578	7.855840682983398	-2.079611301422119
,	0	13	1	2	0	1	1.250553846359253	3.7690844535827637	4.086756229400635
patience	0	14	1	2	0	8	9.261778831481934	8.373759269714355	-4.604674816131592
,	0	15	1	2	0	1	0.7491519451141357	2.4098663330078125	5.963892936706543
notion	0	16	1	2	0	6	18.137096405029297	7.865277290344238	-5.455410957336426
,	0	17	1	2	0	1	0.9355800151824951	2.847520589828491	5.017756700515747
patience	0	18	1	2	0	8	7.762436389923096	8.262721061706543	-5.415200471878052
,	0	19	1	2	0	1	0.7205459475517273	2.097006320953369	6.165714740753174
notion	0	20	1	2	0	6	18.460886001586914	7.946194171905518	-5.849187850952148
,	0	21	1	2	0	1	0.9659188389778137	2.7375237941741943	5.208670377731323
patience	0	22	1	2	0	8	7.302125930786133	8.232598304748535	-5.495074510574341
,	0	23	1	2	0	1	0.7156767249107361	1.991746187210083	6.240852117538452
notion	0	24	1	2	0	6	18.536407470703125	7.979551792144775	-5.987805604934692
,	0	25	1	2	0	1	1.0019946098327637	2.7421321868896484	5.237419605255127
patience	0	26	1	2	0	8	7.154637813568115	8.276708602905273	-5.534576416015625
,	0	27	1	2	0	1	0.7268483638763428	1.994308590888977	6.282400012016296
notion	0	28	1	2	0	6	18.53981590270996	8.05904769897461	-6.064739108085632
.	0	29	1	2	0	1	5.276788711547852	2.7644739151000977	5.294573783874512
in	1	0	0	2	0	2	5.5347185134887695	7.030012607574463	0.0
the	1	1	0	2	0	3	1.9602857828140259	3.8411402702331543	3.1888723373413086
newspaper	1	2	0	2	0	9	11.47335433959961	7.764246940612793	-3.9231066703796387
,	1	3	0	2	0	1	1.7755169868469238	5.869711399078369	1.8945355415344238
somebody	1	4	0	2	0	8	16.164867401123047	5.068793296813965	0.8009181022644043
wrote	1	5	0	2	0	5	8.46602725982666	7.503154277801514	-2.434360980987549
the	1	6	0	2	0	3	3.6970009803771973	5.672510147094727	1.830644130706787
following	1	7	0	2	0	9	8.149749755859375	8.363988876342773	-2.691478729248047
words	1	8	0	2	0	5	4.265489101409912	7.774806499481201	0.5891823768615723
:	1	9	0	2	0	1	2.832608938217163	4.337559223175049	3.4372472763061523
pleasure	1	10	1	2	0	8	19.86849021911621	2.237673282623291	2.099885940551758
,	1	11	1	2	0	1	3.0407140254974365	6.515373706817627	-4.277700424194336
pattern	1	12	1	2	0	7	18.0501651763916	8.145907402038574	-1.6305336952209473
,	1	13	1	2	0	1	0.9830746054649353	4.132038116455078	4.013869285583496
pleasure	1	14	1	2	0	8	12.830187797546387	7.60330057144165	-3.4712624549865723
,	1	15	1	2	0	1	0.8512530326843262	3.500112771987915	4.103187799453735
pattern	1	16	1	2	0	7	15.350282669067383	8.544937133789062	-5.0448243618011475
,	1	17	1	2	0	1	0.6257941126823425	2.2691619396209717	6.275775194168091
pleasure	1	18	1	2	0	8	11.516271591186523	7.362607955932617	-5.0934460163116455
,	1	19	1	2	0	1	0.7712846398353577	3.0314669609069824	4.331140995025635
pattern	1	20	1	2	0	7	15.772943496704102	8.34549331665039	-5.314026355743408
,	1	21	1	2	0	1	0.5938457250595093	2.1291496753692627	6.216343641281128
pleasure	1	22	1	2	0	8	10.841059684753418	7.6955976486206055	-5.566447973251343
,	1	23	1	2	0	1	0.712903618812561	2.791184902191162	4.904412746429443
pattern	1	24	1	2	0	7	15.957322120666504	8.402548789978027	-5.611363887786865
,	1	25	1	2	0	1	0.6047013998031616	2.149543523788452	6.253005266189575
pleasure	1	26	1	2	0	8	10.420918464660645	8.006505012512207	-5.856961488723755
,	1	27	1	2	0	1	0.6921843886375427	2.6677727699279785	5.3387322425842285
pattern	1	28	1	2	0	7	16.063400268554688	8.481719017028809	-5.81394624710083
.	1	29	1	2	0	1	7.417876720428467	2.1831254959106445	6.298593521118164
in	2	0	0	2	0	2	5.5347185134887695	7.030012607574463	0.0
the	2	1	0	2	0	3	1.9602857828140259	3.8411402702331543	3.1888723373413086
newspaper	2	2	0	2	0	9	11.47335433959961	7.764246940612793	-3.9231066703796387
,	2	3	0	2	0	1	1.7755169868469238	5.869711399078369	1.8945355415344238
somebody	2	4	0	2	0	8	16.164867401123047	5.068793296813965	0.8009181022644043
wrote	2	5	0	2	0	5	8.46602725982666	7.503154277801514	-2.434360980987549
the	2	6	0	2	0	3	3.6970009803771973	5.672510147094727	1.830644130706787
following	2	7	0	2	0	9	8.149749755859375	8.363988876342773	-2.691478729248047
words	2	8	0	2	0	5	4.265489101409912	7.774806499481201	0.5891823768615723
:	2	9	0	2	0	1	2.832608938217163	4.337559223175049	3.4372472763061523
paper	2	10	1	2	0	5	17.447021484375	2.237673282623291	2.099885940551758
,	2	11	1	2	0	1	3.922848701477051	7.034516334533691	-4.7968430519104
belief	2	12	1	2	0	6	13.486172676086426	8.66952133178711	-1.635004997253418
,	2	13	1	2	0	1	0.3596212863922119	1.7693685293197632	6.900152802467346
paper	2	14	1	2	0	5	13.476962089538574	6.771694183349609	-5.002325654029846
,	2	15	1	2	0	1	0.6943670511245728	2.9662013053894043	3.805492877960205
belief	2	16	1	2	0	6	11.942261695861816	7.335352420806885	-4.3691511154174805
,	2	17	1	2	0	1	0.46111494302749634	2.094175100326538	5.241177320480347
paper	2	18	1	2	0	5	13.469436645507812	7.431139945983887	-5.336964845657349
,	2	19	1	2	0	1	0.6877401471138	2.894890069961548	4.536249876022339
belief	2	20	1	2	0	6	11.588629722595215	7.554989337921143	-4.660099267959595
,	2	21	1	2	0	1	0.44895878434181213	2.0437328815460205	5.511256456375122
