word	sentid	corpuspos	markers	list_len	prompt_len	wlen	surp	hs	dHs
before	0	0	0	3	1	6	10.503836631774902	7.030012607574463	0.0
the	0	1	0	3	1	3	1.396337866783142	5.51581335067749	1.5141992568969727
meeting	0	2	0	3	1	7	8.320609092712402	8.136612892150879	-2.6207995414733887
,	0	3	0	3	1	1	0.9306159019470215	3.9250125885009766	4.211600303649902
<unk>	0	4	0	3	1	5	1.3261191844940186	4.205248832702637	-0.28023624420166016
wrote	0	5	0	3	1	5	6.97249698638916	6.994194507598877	-2.7889456748962402
down	0	6	0	3	1	4	11.095805168151855	5.084507942199707	1.90968656539917
the	0	7	0	3	1	3	2.327378273010254	5.8691816329956055	-0.7846736907958984
following	0	8	0	3	1	9	7.985852241516113	9.590906143188477	-3.721724510192871
lists	0	9	0	3	1	5	11.57909107208252	8.137153625488281	1.4537525177001953
of	0	10	0	3	1	2	1.873930811882019	4.1463704109191895	3.990783214569092
words	0	11	0	3	1	5	10.368433952331543	5.842422008514404	-1.6960515975952148
.	0	12	0	3	1	1	3.1437745094299316	5.23484992980957	0.607572078704834
one	0	13	0	3	1	3	27.4605655670166	0.1853514015674591	5.049498528242111
was	0	14	0	3	1	3	5.729610443115234	3.3739354610443115	-3.1885840594768524
:	0	15	0	3	1	1	9.756606101989746	8.046631813049316	-4.672696352005005
window	0	16	1	3	1	6	18.55122947692871	5.462635517120361	2.583996295928955
,	0	17	1	3	1	1	4.555434703826904	7.586782932281494	-2.124147415161133
door	0	18	1	3	1	4	12.024885177612305	8.702644348144531	-1.115861415863037
,	0	19	1	3	1	1	1.2721352577209473	4.8596930503845215	3.8429512977600098
roof	0	20	1	3	1	4	12.432637214660645	7.215141296386719	-2.3554482460021973
.	0	21	1	3	1	1	6.718491077423096	3.204575777053833	4.010565519332886
and	0	22	2	3	1	3	23.77589225769043	0.14180077612400055	3.0627750009298325
the	0	23	2	3	1	3	2.71618914604187	6.752007961273193	-6.610207185149193
other	0	24	2	3	1	5	5.849169731140137	9.940823554992676	-3.1888155937194824
:	0	25	2	3	1	1	7.820348262786865	8.927668571472168	1.0131549835205078
cotton	0	26	3	3	1	6	15.957651138305664	6.444098949432373	2.483569622039795
,	0	27	3	3	1	1	2.672605276107788	6.727623462677002	-0.2835245132446289
wool	0	28	3	3	1	4	13.856966972351074	8.021075248718262	-1.2934517860412598
,	0	29	3	3	1	1	0.3292158842086792	1.460452914237976	6.560622334480286
silk	0	30	3	3	1	4	9.775554656982422	7.503735065460205	-6.043282151222229
.	0	31	3	3	1	1	9.333853721618652	1.9885696172714233	5.515165448188782
before	1	0	0	3	1	6	10.503836631774902	7.030012607574463	0.0
the	1	1	0	3	1	3	1.396337866783142	5.51581335067749	1.5141992568969727
meeting	1	2	0	3	1	7	8.320609092712402	8.136612892150879	-2.6207995414733887
,	1	3	0	3	1	1	0.9306159019470215	3.9250125885009766	4.211600303649902
<unk>	1	4	0	3	1	5	1.3261191844940186	4.205248832702637	-0.28023624420166016
wrote	1	5	0	3	1	5	6.97249698638916	6.994194507598877	-2.7889456748962402
down	1	6	0	3	1	4	11.095805168151855	5.084507942199707	1.90968656539917
the	1	7	0	3	1	3	2.327378273010254	5.8691816329956055	-0.7846736907958984
following	1	8	0	3	1	9	7.985852241516113	9.590906143188477	-3.721724510192871
lists	1	9	0	3	1	5	11.57909107208252	8.137153625488281	1.4537525177001953
of	1	10	0	3	1	2	1.873930811882019	4.1463704109191895	3.990783214569092
words	1	11	0	3	1	5	10.368433952331543	5.842422008514404	-1.6960515975952148
.	1	12	0	3	1	1	3.1437745094299316	5.23484992980957	0.607572078704834
one	1	13	0	3	1	3	27.4605655670166	0.1853514015674591	5.049498528242111
was	1	14	0	3	1	3	5.729610443115234	3.3739354610443115	-3.1885840594768524
:	1	15	0	3	1	1	9.756606101989746	8.046631813049316	-4.672696352005005
leg	1	16	1	3	1	3	20.049184799194336	5.462635517120361	2.583996295928955
,	1	17	1	3	1	1	4.592538833618164	6.303186893463135	-0.8405513763427734
arms	1	18	1	3	1	4	10.38344669342041	8.610102653503418	-2.306915760040283
,	1	19	1	3	1	1	0.4684920608997345	1.630968689918518	6.9791339635849
head	1	20	1	3	1	4	7.123690128326416	6.470481872558594	-4.839513182640076
.	1	21	1	3	1	1	8.718938827514648	2.8313493728637695	3.639132499694824
and	1	22	2	3	1	3	23.095409393310547	0.12370685487985611	2.7076425179839134
the	1	23	2	3	1	3	2.9489169120788574	6.110929012298584	-5.987222157418728
other	1	24	2	3	1	5	5.287482261657715	9.443835258483887	-3.3329062461853027
:	1	25	2	3	1	1	7.481542587280273	8.612075805664062	0.8317594528198242
