word	sentid	corpuspos	markers	list_len	prompt_len	wlen	surp	hs	dHs
before	0	0	0	3	1	6	10.503836631774902	7.030012607574463	0.0
the	0	1	0	3	1	3	1.396337866783142	5.51581335067749	1.5141992568969727
meeting	0	2	0	3	1	7	8.320609092712402	8.136612892150879	-2.6207995414733887
,	0	3	0	3	1	1	0.9306159019470215	3.9250125885009766	4.211600303649902
<unk>	0	4	0	3	1	5	1.3261191844940186	4.205248832702637	-0.28023624420166016
wrote	0	5	0	3	1	5	6.97249698638916	6.994194507598877	-2.7889456748962402
down	0	6	0	3	1	4	11.095805168151855	5.084507942199707	1.90968656539917
the	0	7	0	3	1	3	2.327378273010254	5.8691816329956055	-0.7846736907958984
following	0	8	0	3	1	9	7.985852241516113	9.590906143188477	-3.721724510192871
lists	0	9	0	3	1	5	11.57909107208252	8.137153625488281	1.4537525177001953
of	0	10	0	3	1	2	1.873930811882019	4.1463704109191895	3.990783214569092
words	0	11	0	3	1	5	10.368433952331543	5.842422008514404	-1.6960515975952148
.	0	12	0	3	1	1	3.1437745094299316	5.23484992980957	0.607572078704834
one	0	13	0	3	1	3	27.4605655670166	0.1853514015674591	5.049498528242111
was	0	14	0	3	1	3	5.729610443115234	3.3739354610443115	-3.1885840594768524
:	0	15	0	3	1	1	9.756606101989746	8.046631813049316	-4.672696352005005
patience	0	16	1	3	1	8	17.553621292114258	5.462635517120361	2.583996295928955
,	0	17	1	3	1	1	2.097913980484009	6.05208683013916	-0.5894513130187988
notion	0	18	1	3	1	6	17.99555206298828	8.802477836608887	-2.7503910064697266
,	0	19	1	3	1	1	1.0081713199615479	3.359369993209839	5.443107843399048
movie	0	20	1	3	1	5	13.6610107421875	8.54892349243164	-5.189553499221802
.	0	21	1	3	1	1	7.1787285804748535	2.29914927482605	6.249774217605591
and	0	22	2	3	1	3	22.331436157226562	0.24450147151947021	2.0546478033065796
the	0	23	2	3	1	3	3.36311674118042	6.938296318054199	-6.693794846534729
other	0	24	2	3	1	5	6.5953474044799805	10.086292266845703	-3.147995948791504
:	0	25	2	3	1	1	6.95347785949707	9.031351089477539	1.054941177368164
movie	0	26	3	3	1	5	15.160886764526367	7.179014682769775	1.8523364067077637
,	0	27	3	3	1	1	2.565685987472534	7.75287389755249	-0.5738592147827148
patience	0	28	3	3	1	8	11.43586540222168	9.533864974975586	-1.7809910774230957
,	0	29	3	3	1	1	0.7635661363601685	2.4406962394714355	7.09316873550415
notion	0	30	3	3	1	6	18.923383712768555	7.908182621002197	-5.467486381530762
.	0	31	3	3	1	1	5.54395055770874	2.6044890880584717	5.303693532943726
before	1	0	0	3	1	6	10.503836631774902	7.030012607574463	0.0
the	1	1	0	3	1	3	1.396337866783142	5.51581335067749	1.5141992568969727
meeting	1	2	0	3	1	7	8.320609092712402	8.136612892150879	-2.6207995414733887
,	1	3	0	3	1	1	0.9306159019470215	3.9250125885009766	4.211600303649902
<unk>	1	4	0	3	1	5	1.3261191844940186	4.205248832702637	-0.28023624420166016
wrote	1	5	0	3	1	5	6.97249698638916	6.994194507598877	-2.7889456748962402
down	1	6	0	3	1	4	11.095805168151855	5.084507942199707	1.90968656539917
the	1	7	0	3	1	3	2.327378273010254	5.8691816329956055	-0.7846736907958984
following	1	8	0	3	1	9	7.985852241516113	9.590906143188477	-3.721724510192871
lists	1	9	0	3	1	5	11.57909107208252	8.137153625488281	1.4537525177001953
of	1	10	0	3	1	2	1.873930811882019	4.1463704109191895	3.990783214569092
words	1	11	0	3	1	5	10.368433952331543	5.842422008514404	-1.6960515975952148
.	1	12	0	3	1	1	3.1437745094299316	5.23484992980957	0.607572078704834
one	1	13	0	3	1	3	27.4605655670166	0.1853514015674591	5.049498528242111
was	1	14	0	3	1	3	5.729610443115234	3.3739354610443115	-3.1885840594768524
:	1	15	0	3	1	1	9.756606101989746	8.046631813049316	-4.672696352005005
pleasure	1	16	1	3	1	8	17.573265075683594	5.462635517120361	2.583996295928955
,	1	17	1	3	1	1	3.2755212783813477	6.796276092529297	-1.3336405754089355
pattern	1	18	1	3	1	7	15.44654369354248	8.888008117675781	-2.0917320251464844
,	1	19	1	3	1	1	0.6350939273834229	2.8039333820343018	6.0840747356414795
leader	1	20	1	3	1	6	12.528308868408203	7.743145942687988	-4.9392125606536865
.	1	21	1	3	1	1	5.602227210998535	3.734048843383789	4.009097099304199
and	1	22	2	3	1	3	20.217262268066406	0.3548938035964966	3.3791550397872925
the	1	23	2	3	1	3	3.278735637664795	6.501878261566162	-6.1469844579696655
other	1	24	2	3	1	5	5.970249176025391	9.986069679260254	-3.484191417694092
:	1	25	2	3	1	1	6.947925567626953	9.139945983886719	0.8461236953735352
